FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
"Comme ils se disputaient ainsi,",COQ POULE DISPUTER ,AINSI DISPUTER ,['Pres'],,"As they were thus disputing, "
une cane se mit à crier:,CANARD CRIER,CANE CRIER METTRE ,['Past'],,"a duck quacked to them, "
"Eh! voleurs,",EH ! VOLEUR !,VOLEURS ,<unk>,,"You thieving folks, "
qui vous a permis de venir sous mes noyers!,QUI AUTORISER VENIR ARBRE DESSOUS !,NOYERS PERMETTRE VENIR ,['Pres']['Past'],,who bade you go to my nut-hill? 
"Attendez, je vais vous arranger!",ATTENDRE ARRIVER GARE A VOUS,ATTENDEZ ALLER ARRANGER ,['Pres'],,"Well, you shall suffer for it! "
"Et elle se précipita, le bec ouvert, sur le coq.",BEC ATTAQUER COQ,PRECIPITER BEC OUVERT COQ ,['Fut'],,and ran with open beak at the cock. 
"Mais celui-ci, prompt à la riposte,",COQ DEFENDRE,PROMPT RIPOSTE ,<unk>,,"But the cock also was not idle, "
frappa la cane en plein corps,BEC ATTAQUER CANARD,CANE PLEIN CORPS FRAPPER ,,,"and fell boldly on the duck, "
"et lui laboura si bien les chairs à coups d'ergot, qu'elle demanda grâce",PATTES COQ TAPER CANARD CANARD SUPPLIER ARRETER,SI BIEN CHAIRS COUPS ERGOT LABOURER GRACE DEMANDER ,['Fut']['Pres'],,"and at last wounded her so with his spurs that she also begged for mercy, "
et se laissa atteler à la voiture en punition de son attaque.,COQ PUNIR CANARD OBLIGER TIRER VOITURE,VOITURE PUNITION ATTAQUE LAISSER ATTELER ,['Pres'],,and willingly let herself be harnessed to the carriage as a punishment. 
"Le coq s'assit sur le siège pour conduire l'équipage,",COQ ASSOIR SIEGE COMMANDER,SIEGE EQUIPAGE ASSEOIR CONDUIRE ,['Pres'],,"The little cock now seated himself on the box and was coachman, "
et il le lança à fond de train en criant:,CRIER,LANCA FOND TRAIN CRIER ,['Pres'],,"and thereupon they went off in a gallop, "
"Au galop, cane, au galop!",AVANCE GALOP CANARD GALOP,GALOP CANE GALOP ,<unk>,,"with Duck, go as fast as thou canst. "
"Comme ils avaient déjà fait un bout de route,",BIEN AVANCER ROUE ROULER,DEJA BOUT ROUTE FAIRE ,['Imp']['Past'],,When they had driven a part of the way 
ils rencontrèrent deux voyageurs qui cheminaient à pied;,DEUX PERSONNES MARCHER RENCONTRER,DEUX VOYAGEURS PIED RENCONTRER CHEMINER ,['Pres']['Pres'],,"they met two foot-passengers, "
"c'était une épingle et une aiguille,",EPINGLE AIGUILLE,EPINGLE AIGUILLE ,['Imp'],,a pin and a needle. 
qui crièrent: Halte! halte!,TOUS DEUX CRIER STOP STOP,CRIER HALTE HALTE ,['Pres'],,"They cried, Stop! stop! "
"Bientôt, dirent-ils, il ferait nuit noire,",DEUX DIRE BIENTÔT NUIT,BIENTOT DIRE NOIRE FAIRE NUIRE ,['Pres']['Imp']['Past'],,"and said that it would soon be as dark as pitch, "
ils ne pouvaient plus avancer;,PAS POSSIBLE AVANCER,PAS PLUS POUVOIR AVANCER ,['Pres'],,"and then they could not go a step further, "
le chemin était plein de boue;,CHEMIN BOUE,CHEMIN PLEIN BOUE ,['Imp'],,"and that it was so dirty on the road, "
et demandairent qu'on leur permît de monter dans la voiture.,S'IL VOUS PLAIT POUVOIR PRENDRE NOUS NOUS MONTER VOITURE,DEMANDAIRENT PERMIT VOITURE MONTER ,,,and asked if they could not get into the carriage for a while. 
"ils s'étaient attardés à boire de la bière devant la porte, à l'auberge du Tailleur;",TOUS DEUX BOIRE BOIRE BIERE LA BAS BAR ,BIERE PORTE ATTARDER BOIRE AUBERGE TAILLEUR ,['Imp']['Past'],,"They had been at the tailor's public house by the gate, and had stayed too long over the beer. "
Comme ils étaient des petites personnes,TOUS DEUX PETITES FINE PERSONNES,PETITES PERSONNES ETRE ,['Imp'],,"As they were thin people, "
"Le coq, vu la maigreur des nouveaux venus et le peu de place qu'ils tiendraient, consentit à les recevoir,",COQ VOIR MAIGRE FIN PENSER PEU PLACE DANS VOITURE ALORS ACCEPTER,COQ MAIGREUR NOUVEAUX VENUS VOIR PEU PLACE TENIR CONSENTIT RECEVOIR ,['Past']['Pres'],,"who did not take up much room, the cock let them both get in, but they had to promise him "
à condition qu'ils ne marcheraient sur les pieds de personne.,MAIS CONDITION ECRASER PIEDS PERSONNE,PAS CONDITION MARCHERAIENT PIEDS PERSONNE ,<unk>,,and his little hen not to step on their feet. 
"Fort tard dans la soirée ils arrivèrent à une auberge,",TARD NUIT GROUPE ARRIVE LIEU HOTEL DORMIR,FORT TARD SOIREE AUBERGE ARRIVER ,['Imp'],,"Late in the evening they came to an inn, "
"et, comme ils ne voulaient pas se risquer de nuit sur la route,",PAS VOULOIR RISQUER CONTINUER AVANCER NUIT,PAS PAS NUIT ROUTE VOULOIR RISQUER ,['Imp'],,"and as they did not like to go further by night, "
"et que la cane était fatiguée,",CANARD FATIGUER,CANE FATIGUER ,['Imp']['Past'],,"and as the duck also was not strong on her feet, "
ils se décidèrent à entrer.,DECIDER ENTRER,DECIDER ENTRER ,['Pres'],,"and fell from one side to the other, they went in. "
L'hôte fit d'abord des difficultés;,HOTE COMPLIQUER,ABORD HOTE FIT DIFFICULTES ,<unk>,,"The host at first made many objections, "
"sa maison était déjà pleine,",MAISON PLEINE,DEJA MAISON PLEINE ,['Imp'],,"his house was already full, "
"et les nouveaux voyageurs ne lui paraissaient pas d'une condition très relevée,",HOTE VOIR VOYAGEUR SALE PEUT ETRE PAUVRE,PAS PAS TRES NOUVEAUX VOYAGEURS CONDITION RELEVEE PARAITRE ,['Pres'],,besides he thought they could not be very distinguished persons; 
"mais enfin, vaincu par leurs belles paroles,",MAIS PAROLES CHARMER GROUPE VAINCRE VOYAGEUR ,ENFIN BELLES PAROLES VAINCRE ,['Past'],,"but at last, as they made pleasant speeches, "
par la promesse qu'on lui fit de lui abandonner l'oeuf que la poule venait de pondre en route,GROUPE PROMETTRE ŒUF POULE PONDRE DONNER LUI,PROMESSE OEUF POULE ROUTE FAIRE ABANDONNER VENIR PONDRE ,['Past']['Imp'],,"and told him that he should have the egg which the little hen has laid on the way, "
et de lui laisser la cane ,PLUS LAISSER CANARD,CANE LAISSER ,,,"and should likewise keep the duck, "
"qui en pondait un tous les jours,",ELLE PONDRE UN TOUS LES JOURS,TOUS JOURS PONDRE ,['Imp'],,"which laid one every day, "
il voulut bien les recevoir pour la nuit.,ALORS ACCEPTER RESTER NUIT,BIEN NUIT VOULOIR RECEVOIR ,['Pres'],,he at length said that they might stay the night. 
Ils se firent servir du meilleur et passèrent la soirée à faire bombance.,MANGER PLAT DELICIEUX NUIT ENTIERE S'AMUSER FETE,FIRENT MEILLEUR SERVIR PASSERENT SOIREE BOMBANCE FAIRE ,,,"And now they had themselves well served, and feasted and rioted. "
"Le lendemain matin,",LENDEMAIN MATIN,LENDEMAIN MATIN ,<unk>,,"Early in the morning, "
"à la pointe du petit jour,",SOLEIL LEVER,POINTE PETIT JOUR ,<unk>,,"when day was breaking, "
"quand tout le monde dormait encore,",TOUT MONDE DORMIR,ENCORE TOUT MONDE DORMIR ,['Imp'],,"and every one was asleep, "
"le coq réveilla la poule,",COQ REVEILLER POULE,POULE REVEILLER ,['Past'],,"the cock awoke the hen, "
"et, piquant l'oeuf à coups de bec, ils l'avalèrent tous deux",ŒUF BEC PIQUER ŒUF OUVRIR BEC MANGER,PIQUANT OEUF COUPS BEC DEUX AVALERENT TOUS ,<unk>,,"brought the egg, pecked it open, and they ate it together, "
et en jetèrent la coquille dans la cheminée;,RESTE JETER CHEMINEE,JETERENT COQUILLE CHEMINEE ,<unk>,,but they threw the shell on the hearth. 
"ils allèrent ensuite prendre l'aiguille qui dormait encore,",ELLE AIGUILLE DORMIR TOUT DEUX PRENDRE ELLE,ENSUITE ENCORE AIGUILLE ALLER PRENDRE DORMIR ,['Pres']['Imp'],,"Then they went to the needle which was still asleep, "
"et la saisissant par la tête, ils la plantèrent dans le fauteuil de l'hôte,",TETE AIGUILLE PLANTER FAUTEUILLE DE L'HOTE,TETE SAISIR FAUTEUIL HOTE PLANTER ,['Pres']['Pres'],,"took it by the head and stuck it into the cushion of the landlord's chair, "
ainsi que l'épingle dans sa serviette;,AUSSI EPINGLE PLACER DANS SA SERVIETTE,AINSI SERVIETTE EPINGLE ,['Past'],,"and put the pin in his towel, "
puis ils prirent leur vol par la fenêtre.,FENETRE VOLER VOLER,PRIRENT VOL FENETRE ,<unk>,,and at the last without more ado they flew away over the heath. 
"La cane qui couchait volontiers à la belle étoile et qui était restée dans la cour,",CANARD ELLE DORMIR DEHORS COUR,CANE VOLONTIERS BELLE ETOILE COUCHER COUR RESTER ,['Imp']['Imp']['Past'],,"The duck who liked to sleep in the open air and had stayed in the yard, "
"se leva en les entendant passer,",ENTENDRE DEUX REVEILLER,LEVER ENTENDRE PASSER ,['Imp']['Pres'],,"heard them going away, "
"et entrant dans un ruisseau qui coulait au pied du mur,",MUR PIED RUISSEAU CANARD ENTRER,RUISSEAU PIED MUR ENTRER COULER ,['Pres']['Imp'],,"made herself merry and found a stream, "
elle le descendit plus vite qu'elle n'avait couru la poste la veille.,PATAUGER COURIR PLUS VITE QUE HIER,PLUS VITE PAS DESCENDIT POSTE VEILLE COURIR ,['Imp']['Past'],,"down which she swam, which was a much quicker way of travelling than being harnessed to a carriage. "
"Deux heures plus tard l'hôte sortit du lit,",DEUX APRES HOTE LIT SORTIR,DEUX PLUS TARD HEURES HOTE SORTIT LIT ,<unk>,,The host did not get out of bed for two hours after this; 
"et, après s'être lavé la figure, il prit la serviette pour s'essuyer;",VISAGE LAVER PRENDRE SERVIETTE S'ESSUYER,LAVE FIGURE SERVIETTE PRENDRE ESSUYER ,['Pres'],,"he washed himself and wanted to dry himself, "
mais l'épingle lui égratigna le visage et lui fit une grande balafre rouge qui allait d'une oreille à l'autre.,EPINGLE GRIFFER GRIFFURE ROUGE OREILLE A AUTRE OREILLE,EGRATIGNA VISAGE EPINGLE GRANDE BALAFRE ROUGE OREILLE FAIRE ALLER ,['Past']['Past']['Imp'],,then the pin went over his face and made a red streak from one ear to the other. 
Il descendit à la cuisine pour allumer sa pipe;,DESCENDRE CUISINE PIPE ALLUMER,CUISINE PIPE DESCENDRE ALLUMER ,['Past'],,"After this he went into the kitchen and wanted to light a pipe, "
"mais en soufflant sur le feu, les débris de la coquille de l'oeuf lui sautèrent dans les yeux.",SOUFFLER FEU COQUILLE RESTE SAUTER YEUX,FEU SOUFFLER DEBRIS COQUILLE OEUF YEUX SAUTER ,['Pres']['Imp'],,but when he came to the hearth the egg-shell darted into his eyes. 
"Tout conspire contre moi ce matin,",PFFFF TOUT CONTRE MOI,CONSPIRE MATIN ,<unk>,,"This morning everything attacks my head,  "
"se dit-il, et dans son chagrin il se laissa tomber dans son grand fauteuil;",FATIGUER ASSOIR FAUTEUIL,DIRE CHAGRIN GRAND FAUTEUIL LAISSER TOMBER ,['Pres']['Pres'],,"said he, and angrily sat down on his grandfather's chair, "
"mais il se releva bientôt en poussant des cris,",RELEVER DE SUITE CRIER,BIENTOT CRIS RELEVER POUSSER ,['Past']['Pres'],,"but he quickly started up again and cried, "
car l'aiguille l'avait solidement piqué ,AIGUILLE PIQUER,SOLIDEMENT AIGUILLE PIQUER ,['Imp']['Past'],,"Woe is me, for the needle had pricked him still worse than the pin, "
et non pas à la tête.,PIQUER TETE NON PIQUER FESSES,NON PAS TETE ,<unk>,,and not in the head. 
Ce dernier accident acheva de l'exaspérer;,ENCORE PLUS FATIGUER,DERNIER ACCIDENT ACHEVA EXASPERER ,,,"Now he was thoroughly angry, "
ses soupçons tombèrent tout de suite sur les voyageurs qu'il avait reçus la veille au soir;,LUI PENSER SOUPCONS GROUPE HIER ,TOMBERENT TOUT SOUPCONS SUITE VOYAGEURS VEILLE SOIR RECEVOIR ,['Imp']['Past'],,"and suspected the guests who had come so late the night before, "
"et en effet, quand il alla pour voir ce qu'ils étaient devenus,",VOIR GROUPE OU JUSTE,EFFET DEVENUS ALLER VOIR ,['Past']['Imp'],,"and when he went and looked about for them, "
ils étaient partis,GROUPE PARTIR,PARTIR ,['Imp']['Past'],,they were gone. 
Alors il jura bien qu'à l'avenir il ne recevrait plus dans sa maison de ces vagabonds,PROMETTRE MOI JAMAIS RECEVOIR GROUPE MEME MA MAISON,ALORS BIEN PAS PLUS AVENIR MAISON VAGABONDS JURER RECEVOIR ,['Fut']['Imp'],,"Then he made a vow to take no more ragamuffins into his house, "
"qui font beaucoup de dépenses,",MOI DEPENSER,BEAUCOUP DEPENSES FAIRE ,['Pres'],,"for they consume much, "
"ne payent pas,",EUX PAS PAYER,PAS PAS PAYER ,['Pres'],,"pay for nothing, "
et pour tout merci vous jouent quelque méchant tour.,EN PLUS M'EMBETER,QUELQUE TOUT MERCI MECHANT TOUR JOUER ,['Pres'],,and play mischievous tricks into the bargain by way of gratitude.
