FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Mais il ne lui servit à rien de pousser ses 'coâ! coâ! coâ!' ,,PAS SERVIR POUSSER COA ,['Pres']['Pres'],,"But it was of no use, for croak, croak after her"
aussi fort qu'elle pouvait. ,,AUSSI FORT POUVOIR ,['Imp'],,"as he might,"
La jeune fille ne l'écoutait pas. ,,PAS PAS JEUNE FILLE ECOUTER ,['Imp'],,"she would not listen to him,"
Elle se hâtait de rentrer à la maison et ,,MAISON HATER RENTRER ,['Imp'],,"but made haste home,"
bientôt la pauvre grenouille fut oubliée. ,,BIENTOT PAUVRE GRENOUILLE OUBLIER ,['Past']['Past'],,"and very soon forgot all about the poor frog,"
Il ne lui restait plus qu'à replonger dans la fontaine.,,PAS PLUS FONTAINE RESTER REPLONGER ,['Imp'],,who had to betake himself to his well again.
"Le lendemain, ",,LENDEMAIN ,<unk>,,"The next day,"
"comme la petite princesse était à table, ",,PETITE PRINCESSE TABLE ,['Imp'],,when the King's daughter was sitting at table
"mangeant dans sa jolie assiette d'or, avec le roi et tous les gens de la Cour, ",,JOLIE OR MANGER ASSIETTE ROI TOUS GENS COUR ,['Pres']['Past'],,"with the King and all the court, and eating from her golden plate,"
on entendit plouf! plouf! plouf! plouf! ,,PLOUF PLOUF PLOUF ENTENDRE PLOUF ,['Pres']['Past'],,there came something pitter patter 
quelque chose qui montait l'escalier de marbre. ,,CHOSE ESCALIER MARBRE MONTER ,['Imp'],,"up the marble stairs,"
Puis on frappa à la porte et une voix dit: ,,PORTE FRAPPER VOIX DIT ,['Past'],,"and then there came a knocking at the door, and a voice crying:"
"Fille du roi, la plus jeune,",,FILLE ROI PLUS JEUNE ,<unk>,,"Youngest King's daughter,"
ouvre moi! ,,OUVRIR ,['Pres'],,let me in!
Elle se leva de table pour voir qui était là. ,,LA TABLE LEVER VOIR ,['Past']['Imp'],,"And she got up and ran to see who it could be,"
"Quand elle ouvrit, ",,OUVRIR ,['Pres'],,"but when she opened the door,"
elle aperçut la grenouille. ,,GRENOUILLE APERCEVOIR ,['Past'],,there was the frog sitting outside.
Elle repoussa bien vite la porte et ,,BIEN VITE PORTE REPOUSSER ,['Past'],,Then she shut the door hastily
alla reprendre sa place. ,,PLACE ALLER REPRENDRE ,['Past'],,"and went back to her seat,"
Elle avait très peur. ,,TRES PEUR ,['Imp'],,feeling very uneasy.
Le roi vit que son coeur battait fort et dit: ,,FORT ROI COEUR VOIR BATTRE DIRE ,['Pres']['Imp']['Past'],,"The King noticed how quickly her heart was beating, and said:"
"Que crains-tu, mon enfant?",,CRAINS - TU ENFANT ,<unk>,,"My child, what are you afraid of?"
"Y aurait-il un géant derrière la porte, qui viendrait te chercher? ",,GEANT PORTE AVOIR VENIR CHERCHER ,['Pres']['Imp'],,Is there a giant standing at the door ready to carry you away?
"Oh! non, répondit-elle, ",,NON REPONDIT ,<unk>,,"Oh no, answered she,"
"ce n'est pas un géant, ",,PAS PAS GEANT ,['Pres'],,"no giant,"
mais une vilaine grenouille. ,,VILAINE GRENOUILLE ,<unk>,,but a horrid frog.
Que te veut cette grenouille? ,,GRENOUILLE VOULOIR ,['Pres'],,And what does the frog want? asked the King.
"Ah! cher père, ",,AH CHER PERE ,<unk>,,"O dear father, answered she,"
"hier, comme j'étais au bord de la fontaine et ",,HIER BORD FONTAINE ETRE ,['Imp'],,"when I was sitting by the well yesterday,"
"que je jouais avec ma balle d'or, ",,BALLE OR JOUER ,['Pres'],,"and playing with my golden ball,"
celle-ci tomba dans l'eau. ,,EAU TOMBER ,['Pres'],,"it fell into the water,"
"Parce que je pleurais bien fort, ",,BIEN FORT PLEURER ,['Pres'],,"and while I was crying for the loss of it,"
la grenouille me l'a rapportée. ,,GRENOUILLE RAPPORTER ,['Pres']['Past'],,the frog came and got it again
"Et comme elle me le demandait avec insistance, ",,INSISTANCE DEMANDER ,['Imp'],,for me on condition
je lui ai promis qu'elle deviendrait ma compagne. ,,COMPAGNE PROMETTRE DEVENIR ,['Pres']['Past']['Pres'],,"I would let him be my companion,"
Mais je ne pensais pas qu'elle sortirait de son eau. ,,PAS PAS PENSAIS EAU SORTIR ,['Imp'],,but I never thought that he could leave the water and come after me;
Et voilà qu'elle est là dehors et ,,LA VOILA ,['Pres']['Pres'],,"but now there he is outside the door,"
veut venir auprès de moi. ,,AUPRES VOULOIR VENIR ,['Pres'],,and he wants to come in to me.
"Sur ces entrefaites, ",,ENTREFAITES ,<unk>,,And then
on frappa une seconde fois à la porte et une voix dit:,,SECONDE FOIS PORTE FRAPPER VOIX DIRE ,['Fut']['Past'],,they all heard him knocking the second time and crying:
"Fille du roi, la plus jeune,",,FILLE ROI PLUS JEUNE ,<unk>,,"Youngest King's daughter,"
Ouvre-moi!,,<unk>,<unk>,,Open to me!
Ne sais-tu plus ce qu'hier,,PAS PLUS HIER SAIS - TU ,<unk>,,By the well water
Au bord de la fontaine fraîche,,BORD FONTAINE FRAICHE ,<unk>,,What promised
Tu me promis?,,PROMETTRE ,['Past'],,you me?
"Fille du roi, la plus jeune,",,FILLE ROI PLUS JEUNE ,<unk>,,Youngest King's daughter
Ouvre-moi!,,<unk>,<unk>,,Now open to me!
"Le roi dit alors: Ce que tu as promis, il faut le faire. Va et ouvre! ",,ALORS ROI DIRE TU AS PROMETTRE FALLOIR FAIRE ALLER OUVRIR ,['Pres']['Past']['Pres']['Pres']['Pres'],,"That which thou hast promised must thou perform, said the King, so go now and let him in."
Elle se leva et ouvrit la porte. ,,LEVER PORTE OUVRIR ,['Imp']['Past'],,"So she went and opened the door,"
"La grenouille sautilla dans la salle, ",,GRENOUILLE SALLE SAUTILLER ,['Past'],,"and the frog hopped in,"
"toujours sur ses talons, ",,TOUJOURS TALONS ,<unk>,,"following at her heels,"
jusqu'à sa chaise. ,,CHAISE ,<unk>,,till she reached her chair.
"Là, elle s'arrêta et dit: ",,LA ARRETER DIRE ,['Pres']['Past'],,Then he stopped and cried:
Prends-moi auprès de toi! ,,AUPRES PRENDS TOI ,<unk>,,Lift me up to sit by you.
La princesse hésita. Mais le roi lui donna l'ordre d'obéir. ,,PRINCESSE HESITA ROI ORDRE OBEIR DONNER ,['Past'],,But she delayed doing so until the King ordered her.
"Quand la grenouille fut installée sur la chaise, ",,GRENOUILLE CHAISE INSTALLER ,['Past']['Past'],,"When once the frog was on the chair,"
elle demanda à monter sur la table. ,,TABLE DEMANDER MONTER ,['Pres'],,"he wanted to get on the table,"
"Et quand elle y fut, ",,<unk>,['Past'],,and there he sat
"elle dit: Approche ta petite assiette d'or, ",,DIRE APPROCHE PETITE ASSIETTE OR ,['Pres']['Imp'],,"and said: Now push your golden plate a little nearer,"
nous allons y manger ensemble. ,,ENSEMBLE ALLER MANGER ,['Pres'],,so that we may eat together.
"La princesse fit ce qu'on voulait, ",,PRINCESSE FAIRE VOULOIR ,['Pres']['Imp'],,"And so she did,"
mais c'était malgré tout de mauvais coeur. ,,MAUVAIS COEUR ,['Imp'],,"but everybody might see how unwilling she was,"
La grenouille mangea de bon appétit; ,,GRENOUILLE MANGEA BON APPETIT ,<unk>,,"and the frog feasted heartily,"
"quant à la princesse, chaque bouchée lui restait au travers de la gorge. ",,QUANT PRINCESSE BOUCHEE TRAVERS GORGE RESTER ,['Imp'],,but every morsel seemed to stick in her throat.
"À la fin, la grenouille dit: J'ai mangé à satiété; ",,FIN GRENOUILLE DIRE SATIETE MANGER ,['Past']['Pres']['Past'],,"I have had enough now, said the frog at last,"
"maintenant, je suis fatiguée. ",,MAINTENANT FATIGUER ,['Pres']['Past'],,"and as I am tired,"
Conduis-moi dans ta chambrette et ,,CHAMBRETTE ,<unk>,,"you must carry me to your room,"
prépare ton lit de soie; ,,LIT SOIE PREPARE ,['Pres'],,"and make ready your silken bed,"
nous allons dormir. ,,DORMIR ALLER ,['Pres'],,and we will lie down and go to sleep.
La fille du roi se mit à pleurer; ,,FILLE ROI METTRE PLEURER ,['Past'],,"Then the King's daughter began to weep,"
elle avait peur du contact glacé de la grenouille et n'osait pas la toucher. ,,PEUR CONTACT GLACE GRENOUILLE AVOIR PAS PAS OSER TOUCHER ,['Imp']['Imp'],,"and was afraid of the cold frog,"
"Et maintenant, elle allait dormir dans son joli lit bien propre! ",,MAINTENANT LIT BIEN JOLI PROPRE ALLER DORMIR ,['Imp']['Past'],,that nothing would satisfy him but he must sleep in her pretty clean bed.
Mais le roi se fâcha et dit: ,,ROI FACHER DIRE ,['Past'],,"Now the King grew angry with her, saying:"
Tu n'as pas le droit de mépriser celle qui t'a aidée quand tu étais dans le chagrin. ,,PAS PAS PAS TU DROIT CHAGRIN AVOIR MEPRISER AIDER ETRE ,['Imp']['Pres']['Past']['Pres'],,"That which thou hast promised in thy time of necessity, must thou now perform."
"La princesse saisit la grenouille entre deux doigts, ",,DEUX PRINCESSE GRENOUILLE DOIGTS SAISIR ,['Pres'],,"So she picked up the frog with her finger and thumb,"
la monta dans sa chambre et ,,MONTA CHAMBRE ,<unk>,,carried him upstairs and 
la déposa dans un coin. ,,DEPOSA COIN ,<unk>,,"put him in a corner,"
"Quand elle fut couchée, ",,COUCHER ,['Past']['Past'],,"and when she had lain down to sleep,"
la grenouille sauta près du lit et dit: ,,PRES GRENOUILLE SAUTA LIT DIRE ,['Past'],,"he came creeping up, saying:"
"Prends-moi, sinon je le dirai à ton père. ",,PRENDS -MOI SINON DIRAI TON PERE ,<unk>,,"I am tired and want sleep as much as you; take me up, or I will tell your father."
"La princesse se mit en colère, ",,PRINCESSE COLERE METTRE ,['Past'],,"Then she felt beside herself with rage,"
saisit la grenouille et la projeta de toutes ses forces contre le mur: ,,GRENOUILLE SAISIR PROJETA TOUTES FORCES MUR ,['Pres'],,"and picking him up, she threw him with all her strength against the wall,"
"Comme ça tu dormiras, ",,TU DORMIRAS ,<unk>,,"crying: Now will you be quiet,"
affreuse grenouille!,,AFFREUSE GRENOUILLE ,<unk>,,you horrid frog!
"Mais quand l'animal retomba sur le sol, ",,ANIMAL SOL RETOMBER ,['Pres'],,"But as he fell,"
ce n'était plus une grenouille. ,,PAS PLUS GRENOUILLE ,['Imp'],,"he ceased to be a frog,"
Un prince aux beaux yeux pleins d'amitié la regardait. ,,PRINCE BEAUX YEUX PLEINS REGARDAIT ,<unk>,,and became all at once a prince with beautiful kind eyes.
Il en fut fait selon la volonté du père de la princesse. ,,VOLONTE PERE PRINCESSE FAIRE ,['Past']['Past'],,"And it came to pass that, with her father's consent,"
Il devint son compagnon aimé et son époux. ,,COMPAGNON DEVENIR AIMER EPOUX ,['Pres']['Past'],,they became bride and bridegroom.
Il lui raconta qu'une méchante sorcière lui avait jeté un sort et ,,QU' MECHANTE SORCIERE SORT RACONTER JETER ,['Pres']['Imp']['Past'],,"And he told her how a wicked witch had bound him by her spells,"
la princesse seule pouvait l'en libérer. ,,PRINCESSE SEULE POUVOIR LIBERER ,['Imp'],,"and how no one but she alone could have released him,"
"Le lendemain, ils partiraient tous deux pour son royaume. ",,LENDEMAIN TOUS ROYAUME PARTIR ,['Imp'],,and that they two would go together to his father's kingdom.
"Ils s'endormirent et, au matin, quand le soleil se leva, on vit arriver une voiture attelée de huit chevaux blancs. ",,ENDORMIR MATIN SOLEIL LEVER HUIT VOITURE CHEVAUX BLANCS VOIR ARRIVER ATTELER ,['Pres']['Past']['Pres']['Past'],,"And there came to the door a carriage drawn by eight white horses,"
Ils avaient de blancs plumets sur la tête et ,,BLANCS PLUMETS TETE AVOIR ,['Imp'],,"with white plumes on their heads,"
leurs harnais étaient d'or. ,,HARNAIS OR ,['Imp'],,"and with golden harness,"
À l'arrière se tenait le valet du jeune roi. C'était le fidèle Henri. ,,ARRIERE VALET JEUNE ROI TENIR FIDELE HENRI ,['Imp']['Imp'],,"and behind the carriage was standing faithful Henry, the servant of the young prince."
Il avait eu tant de chagrin quand il avait vu son seigneur transformé en grenouille ,,TANT CHAGRIN SEIGNEUR GRENOUILLE AVOIR VOIR TRANSFORMER ,['Imp']['Past']['Imp']['Past']['Past'],,"Now, faithful Henry had suffered such care and pain when his master was turned into a frog,"
qu'il s'était fait bander la poitrine de trois cercles de fer ,,TROIS POITRINE CERCLES FER FAIRE BANDER ,['Imp']['Past'],,"that he had been obliged to wear three iron bands over his heart,"
pour que son coeur n'éclatât pas de douleur. ,,PAS PAS COEUR DOULEUR ECLATER ,['Pres'],,to keep it from breaking with trouble and anxiety.
La voiture devait emmener le prince dans son royaume. ,,VOITURE PRINCE ROYAUME DEVOIR EMMENER ,['Imp'],,"When the carriage started to take the prince to his kingdom,"
"Le fidèle Henri l'y fit monter avec la princesse, ",,FIDELE HENRI PRINCESSE FAIRE MONTER ,['Past'],,"and faithful Henry had helped them both in,"
"et s'installa de nouveau à l'arrière, ",,NOUVEAU ARRIERE INSTALLER ,['Past'],,"he got up behind,"
tout heureux de voir son maître libéré du mauvais sort.,,HEUREUX MAITRE MAUVAIS VOIR LIBERER SORTIR ,['Past']['Past'],,and was full of joy at his master's deliverance.
"Quand ils eurent roulé pendant quelque temps, ",,EURENT TEMPS ROULER ,['Past'],,"And when they had gone a part of the way,"
"le prince entendit des craquements derrière lui, ",,PRINCE CRAQUEMENTS ENTENDRE ,['Past'],,"the prince heard a sound at the back of the carriage,"
comme si quelque chose se brisait. ,,CHOSE BRISER ,['Imp'],,"as if something had broken,"
Il tourna la tête et dit:,,TETE TOURNER DIRE ,['Pres']['Past'],,and he turned round and cried:
"Henri, est-ce l'attelage qui brise ses chaînes?",,HENRI ATTELAGE CHAINES BRISE ,['Pres']['Pres'],,"Henry, the wheel must be breaking!"
"Eh! non, Seigneur, ce n'est pas la voiture,",,NON SEIGNEUR PAS PAS VOITURE ,['Pres'],,"The wheel does not break,"
Mais de mon coeur l'une des ceintures.,,COEUR CEINTURES ,<unk>,,'Tis the band round my heart
"Car j'ai eu tant de peine Quand vous étiez dans la fontaine, Transformé en grenouille vilaine!",,TANT PEINE FONTAINE AVOIR ETRE TRANSFORME GRENOUILLE VILAINE ,['Pres']['Past']['Pres'],,"That, to lessen its ache, When I grieved for your sake, I bound round my heart."
"Par deux fois encore, en cours de route, ",,DEUX ENCORE FOIS COURS ROUTE ,<unk>,,"Again, and yet once again"
on entendit des craquements et ,,CRAQUEMENTS ENTENDRE ,['Pres'],,"there was the same sound,"
le prince crut encore que la voiture se brisait. ,,ENCORE PRINCE VOITURE CROIRE BRISER ,['Pres']['Imp'],,"and the prince thought it must be the wheel breaking,"
"Mais ce n'était que les cercles de fer du fidèle Henri,",,PAS CERCLES FER FIDELE HENRI ,['Imp'],,"but it was the breaking of the other bands from faithful Henry's heart,"
heureux de voir son seigneur délivré.,,HEUREUX SEIGNEUR DELIVRE VOIR ,,,because it was now so relieved and happy.
