FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
"Et pour la calmer, il fallut absolument que son mari retournât encore une fois dans le jardin.",CALMER ELLE SON MARI OBLIGER RETOURNER JARDIN,CALMER ABSOLUMENT ENCORE MARI RETOURNAT FOIS FALLOIR JARDIN ,['Past'],,if she was to have any rest the man must climb over the wall once more.
"Au crépuscule, donc, il fit comme la veille,",SOLEIL COUCHE COMME HIER,CREPUSCULE DONC VEILLE FAIRE ,['Past'],,So he went in the twilight again;
"mais quand il sauta du mur dans le jardin,",MAIS MUR HAUT SAUTER CHEZ SORCIERE,MUR SAUTER JARDIN ,['Pres'],,"and as he was climbing back,"
il se figea d'effroi car la sorcière était devant lui!,FIGER PEUR SORCIERE DEVANT LUI,EFFROI SORCIERE FIGER ,['Pres']['Imp'],,"he saw, all at once, the witch standing before him, and was terribly frightened,"
"Quelle audace de t'introduire dans mon jardin comme un voleur, lui dit-elle avec un regard furibond,",SORCIER DIRE TOI CAPABLE SAUTER CHEZ MOI COMME VOLEUR,T' QUELLE AUDACE INTRODUIRE VOLEUR JARDIN REGARD FURIBOND DIRE ,['Pres'],,"as she cried, with angry eyes, How dare you climb over into my garden like a thief,"
et de venir me voler mes raiponces!,TOI VOLER MES FLEURS !,RAIPONCES VENIR VOLER ,,,and steal my rampion!
Tu vas voir ce qu'il va t'en coûter!,ATTENTION TOI VOIR ,T' VOIR ALLER COUTER ,['Pres'],,it shall be the worse for you!
"Oh! supplia-t-il, ne voulez-vous pas user de clémence et préférer miséricorde à justice?",LUI SUPPLIER S'IL VOUS PLAIT LAISSER MOI PARTIR TOI GENTILLE,PAS PAS CLEMENCE VOULOIR USER MISERICORDE JUSTICE PREFERER ,['Pres'],,"Oh, answered he, be merciful rather than just,"
"Si Je l'ai fait, si je me suis décidé à le faire, c'est que j'étais forcé:",MOI FAIRE PAR OBLIGER FORCER,FAIRE DECIDER FAIRE FORCE ETRE ETRE ,['Pres']['Past']['Pres']['Past']['Pres']['Imp'],,I have only done it through necessity;
"ma femme a vu vos raiponces par notre petite fenêtre,",MA FEMME FENETRE VOIR VOS FLEUR ,FEMME RAIPONCES PETITE FENETRE VOIR ,['Pres']['Past'],,"for my wife saw your rampion out of the window,"
et elle a été prise d'une telle envie d'en manger qu'elle serait morte si elle n'en avait pas eu.,ELLE ENVIE FORT MANGER SI PAS AVOIR ELLE MORTE ,PAS PAS PRISE TELLE ENVIE MANGER MOURIR AVOIR ,['Pres']['Past']['Pres']['Past']['Imp']['Past'],,and became possessed with so great a longing that she would have died if she could not have had some to eat.
La sorcière fit taire sa fureur et lui dit:,SORCIERE ENERVER ARRETER DIRE,SORCIERE FIT FUREUR TAIRE DIRE ,['Pres'],,"Then the witch said,"
"Si c'est comme tu le prétends, je veux bien te permettre d'emporter autant de raiponces que tu voudras,",SI DIRE MOI VRAI ALORS MOI LAISSER PRENDRE PLUSIEURS,PRETENDS BIEN AUTANT TU RAIPONCES VOUDRAS VOULOIR PERMETTRE EMPORTER ,['Pres']['Imp'],,"If it is all as you say you may have as much rampion as you like,"
mais à une condition:,MAIS CONDITION,CONDITION ,<unk>,,on one condition
c'est que tu me donnes l'enfant que ta femme va mettre au monde.,GROSSESSE NAITRE BEBE DONNER MOI,PAS ENFANT FEMME MONDE ETRE DONNER ALLER METTRE ,['Pres']['Past']['Pres'],,the child that will come into the world must be given to me.
Tout ira bien pour lui,PROMETTRE,TOUT BIEN ALLER ,['Fut'],,"It shall go well with the child,"
et j'en prendrai soin comme une mère.,S'OCCUPER LUI COMME MERE,SOIN MERE PRENDRE ,['Fut'],,and I will care for it like a mother.
"Le mari, dans sa terreur, accepta tout sans discuter.",MARI PEUR OUI OUI ACCEPTER ,MARI TERREUR TOUT ACCEPTA DISCUTER ,,,In his distress of mind the man promised everything;
"Et quelques semaines plus tard, quand sa femme accoucha,",TEMPS APRES SA FEMME ACCOUCHER,PLUS TARD SEMAINES FEMME ACCOUCHA ,<unk>,,"and when the time came when the child was born the witch appeared,"
"la sorcière arriva aussitôt, donna à l'enfant le nom de Raiponce",SORCIERE ARRIVER BEBE ELLE NOMMER RAIPONCE ,AUSSITOT SORCIERE ARRIVER ENFANT NOM RAIPONCE DONNER ,['Pres']['Past'],,"and, giving the child the name of Rapunzel"
et l'emporta avec elle.,BEBE PRENDRE,EMPORTA ,<unk>,,she took it away with her.
"Raiponce était une fillette, et la plus belle qui fut sous le soleil.",RAIPONCE FILLE BELLE SOLEIL ELLE MAGNFIQUE ,RAIPONCE FILLETTE PLUS BELLE SOLEIL ,['Imp']['Past'],,Rapunzel was the most beautiful child in the world.
"Lorsqu'elle eut ses douze ans, la sorcière l'enferma dans une tour qui se dressait,",MOMENT 12 ANS SORCIERE TOUR IMMENSE ENFERMER ELLE ,ANS AVOIR SORCIERE ENFERMA TOUR DRESSER ,['Past']['Imp'],,"When she was twelve years old the witch shut her up in a tower in the midst of a wood,"
"sans escalier ni porte, au milieu d'une forêt.","TOUR AUCUN ESCALIER PORTE OU, MILIEU FORET",ESCALIER PORTE MILIEU FORET ,['Pres'],,"and it had neither steps nor door,"
"Et comme la tour n'avait pas d'autre ouverture qu'une minuscule fenêtre tout en haut, quand la sorcière voulait y entrer, elle appelait sous la fenêtre et criait:",TOUR IMMENSE PETITE FENETRE SORCIRE BAS TOUR CRIER,PAS PAS TOUT TOUR AUTRE OUVERTURE MINUSCULE HAUT AVOIR SORCIERE VOULOIR ENTRER FENETRE APPELER CRIER ,['Imp']['Imp']['Imp']['Imp'],,"only a small window above. When the witch wished to be let in, she would stand below and would cry,"
"Raiponce, Raiponce,",RAIPONCE RAIPONCE,RAIPONCE RAIPONCE ,<unk>,,"Rapunzel, Rapunzel!"
Descends-moi tes cheveux.,TES CHEVEUX DESCENDRE ,DESCENDS TES CHEVEUX ,<unk>,,Let down your hair!
Raiponce avait de longs et merveilleux cheveux qu'on eût dits de fils d'or.,RAIPONCE CHEVEUX LONG MERVEILLEUX COMME OR,RAIPONCE LONGS MERVEILLEUX CHEVEUX FILS OR DIRE ,['Imp']['Pres'],,Rapunzel had beautiful long hair that shone like gold.
"En entendant la voix de la sorcière, elle défaisait sa coiffure,",RAPONCE ENTENDRE SORCIERE CRIER DEFAIRE CHEVEUX,VOIX SORCIERE ENTENDRE COIFFURE DEFAIRE ,['Pres']['Imp'],,"When she heard the voice of the witch she would undo the fastening of the upper window,"
attachait le haut de ses nattes à un crochet de la fenêtre,FENETRE CROCHET CHEVEUX ATTACHER,HAUT NATTES CROCHET FENETRE ATTACHER ,['Imp'],,"unbind the plaits of her hair,"
"et les laissait se dérouler jusqu'en bas, à vingt aunes au-dessous,",CHEVEUX DEROULER TOUR EN BAS,BAS LAISSER DEROULER VINGT AUNES - DESSOUS ,['Imp'],,"and let it down twenty ells below,"
si bien que la sorcière pouvait se hisser et entrer.,SOECIERE GRIMPER CHEVEUX HAUT TOUR ENTRER,BIEN SORCIERE POUVOIR HISSER ENTRER ,['Imp'],,and the witch would climb up by it.
"Quelques années plus tard,",ANNEE APRES,PLUS TARD ANNEES ,<unk>,,After they had lived thus a few years
il advint qu'un fils de roi qui chevauchait dans la forêt passa près de la tour,FILS ROI CHEVAUCHER DANS FORET PASSER PRES TOUR,PRES FILS ROI FORET TOUR ADVENIR CHEVAUCHER PASSER ,['Pres']['Imp']['Pres'],,"it happened that as the King's son was riding through the wood, he came to the tower;"
et entendit un chant si adorable qu'il s'arrêta pour écouter.,CHANT ENTENDRE ARRETER ECOUTER,CHANT ADORABLE ENTENDRE ARRETER ECOUTER ,['Past']['Pres'],,and as he drew near he heard a voice singing so sweetly that he stood still and listened.
C'était Raiponce qui se distrayait de sa solitude en laissant filer sa délicieuse voix.,RAIPONCE S'ENNUYER ALORS CHANTER,RAIPONCE SOLITUDE DELICIEUSE VOIX DISTRAIRE LAISSER FILER ,['Imp']['Imp']['Pres'],,It was Rapunzel in her loneliness trying to pass away the time with sweet songs.
"Le fils de roi, qui voulait monter vers elle,",TOUR LUI FILS ROI VOULOIR ENTRER COMMENT ?,FILS ROI VOULOIR MONTER ,['Imp'],,"The King's son wished to go in to her,"
chercha la porte de la tour et n'en trouva point.,TOUR AUTOUR CHERCHER PORTE,PORTE TOUR CHERCHER PAS TROUVA POINT ,,,"and sought to find a door in the tower, but there was none."
Il tourna bride et rentra chez lui;,IMPOSSIBLE TROUVER LUI ABANDONNER RENTRER SA MAISON,BRIDE TOURNER RENTRER ,['Pres']['Fut'],,"So he rode home,"
"mais le chant l'avait si fort bouleversé et ému dans son coeur,",RAPPELER CHANT ENTENDRE DONNER MOI EMOTION,SI FORT CHANT AVOIR BOULEVERSER COEUR EMOUVOIR ,['Imp']['Past']['Past'],,"but the song had entered into his heart,"
qu'il ne pouvait plus laisser passer un jour sans chevaucher dans la forêt pour revenir à la tour et écouter.,TOUS LES JOUR CHEVAUCHER DANS FORET ESSAYER ENTENDRE ENCORE,PAS PLUS JOUR FORET TOUR POUVOIR LAISSER PASSER CHEVAUCHER REVENIR ECOUTER ,['Imp'],,and every day he went into the wood and listened to it.
"Il était là, un jour, caché derrière un arbre,",JOUR LUI LA ARBRE DERRIERE CACHER,LA JOUR ARBRE CACHER ,['Imp']['Past'],,"Once, as he was standing there under a tree,"
quand il vit arriver une sorcière qu'il entendit appeler sous la fenêtre:,CACHER VOIR SORCIERE CRIER ,SORCIERE FENETRE VOIR ARRIVER ENTENDRE APPELER ,['Pres']['Pres'],,"he saw the witch come up, and listened while she called out,"
"Raiponce, Raiponce,",RAIPONCE RAIPONCE,RAIPONCE RAIPONCE ,<unk>,,"O Rapunzel, Rapunzel!"
Descends-moi tes cheveux.,TES CHEVEUX DESCENDRE ,DESCENDS TES CHEVEUX ,<unk>,,Let down your hair.
Alors Raiponce laissa se dérouler ses nattes,CHEVEUX DEROULER TOUR EN BAS,ALORS RAIPONCE LAISSA NATTES DEROULER ,,,"Then he saw how Rapunzel let down her long tresses,"
et la sorcière grimpa.,SORCIER GRIMPER,SORCIERE GRIMPA ,<unk>,,"and how the witch climbed up by it and went in to her,"
"Si c'est là l'escalier par lequel on monte, je veux aussi tenter ma chance, se dit-il.",FILS ROI PENSER CA METHODE MONTER MOI FAIRE PAREIL,LA ESCALIER MONTE AUSSI CHANCE VOULOIR TENTER DIRE ,['Pres']['Pres']['Pres']['Pres'],,"and he said to himself, Since that is the ladder I will climb it, and seek my fortune."
"Et le lendemain, quand il commença à faire sombre,",DEMAIN SOMBRE,LENDEMAIN SOMBRE COMMENCER FAIRE ,['Past'],,"And the next day, as soon as it began to grow dusk,"
il alla au pied de la tour et appela:,MARCHER TOUR CRIER,PIED TOUR ALLER APPELA ,['Past'],,"he went to the tower and cried,"
"Raiponce, Raiponce,",RAIPONCE RAIPONCE,RAIPONCE RAIPONCE ,<unk>,,"O Rapunzel, Rapunzel!"
Descends-moi tes cheveux.,TES CHEVEUX DESCENDRE ,DESCENDS TES CHEVEUX ,<unk>,,Let down your hair.
Les nattes se déroulèrent aussitôt et le fils de roi monta.,CHEVEUX DEROULER TOUR EN BAS DE SUITE ROI GRIMPER,DEROULERENT AUSSITOT NATTES FILS MONTA ,<unk>,,"And she let down her hair, and the King's son climbed up by it."
"Sur le premier moment, Raiponce fut très épouvantée en voyant qu'un homme était entré chez elle,",D'ABORD RAIPONCE CHOQUER VOIR HOMME ENTRE CHEZ ELLE,PREMIER MOMENT TRES VOYANT RAIPONCE HOMME EPOUVANTER ENTRER ,['Past']['Past']['Imp']['Past'],,"Rapunzel was greatly terrified when she saw that a man had come in to her,"
un homme comme elle n'en avait jamais vu;,HOMME LUI JAMAIS VU,PAS PAS HOMME VOIR ,['Imp']['Past'],,for she had never seen one before;
mais il se mit à lui parler gentiment,LUI PARLER GENTIMENT,GENTIMENT METTRE PARLER ,['Past'],,"but the King's son began speaking so kindly to her,"
"et à lui raconter combien son coeur avait été touché quand il l'avait entendue chanter,",LUI RACONTER SON CHANT TOUCHER CŒUR ,COMBIEN COEUR RACONTER TOUCHER ENTENDRE CHANTER ,['Imp']['Past']['Past']['Imp']['Past'],,"and told how her singing had entered into his heart,"
et qu'il n'avait plus eu de repos tant qu'il ne l'eût vue en personne.,PAS DORMIR MOI VOULOIR RENCONTRER TOI,PAS PLUS TANT PAS REPOS VUE PERSONNE AVOIR ,['Imp']['Past'],,so that he could have no peace until he had seen her herself.
"Alors Raiponce perdit son effroi,",RAIPONCE CALME,ALORS RAIPONCE EFFROI PERDRE ,['Past'],,"Then Rapunzel forgot her terror,"
"et quand il lui demanda si elle voulait de lui comme mari,",LUI DEMANDER TOI VOULOIR MARIER ENSEMBLE,MARI DEMANDER VOULOIR ,['Imp'],,"and when he asked her to take him for her husband,"
"voyant qu'il était jeune et beau,",ELLE VOIR LUI BEAU JEUNE,VOYANT JEUNE BEAU ,['Imp'],,"and she saw that he was young and beautiful,"
"elle pensa: Celui-ci m'aimera sûrement mieux que ma vieille mère-marraine, la Taufpatin,",PENSER PEUT ETRE LUI AIMER MOI PLUS QUE MA MERE MARRAINE,PENSER SUREMENT MIEUX CELUI VIEILLE MERE - MARRAINE AIMER TAUFPATIN ,['Pres']['Fut'],,"she thought to herself, I certainly like him much better than old mother Gothel,"
"et elle répondit qu'elle le voulait bien, en mettant sa main dans la sienne.",ELLE REPONDRE OUI ACCEPTER MAIN DANS MAIN,BIEN REPONDRE VOULOIR MAIN SIENNE METTRE ,['Past']['Imp']['Pres'],,and she put her hand into his hand.
"Elle ajouta aussitôt: Je voudrais bien partir avec toi,",TOUS LES DEUX PARTIR ENSEMBLE?,AUSSITOT AJOUTA BIEN TOI VOULOIR PARTIR ,['Pres'],,"She said: I would willingly go with thee,"
mais je ne saurais pas comment descendre.,MAIS PAS SAVOIR COMMENT DESCENDRE,PAS PAS COMMENT SAURAIS DESCENDRE ,,,but I do not know how I shall get out.
"Si tu viens, alors apporte-moi chaque fois un cordon de soie:",MIEUX QUOI ? QUAND TOI VENIR VOIR MOI M'APPORTER CORDE,TU VIENS ALORS FOIS CORDON SOIE APPORTE ,['Pres'],,"When thou comest, bring each time a silken rope,"
"j'en ferai une échelle,",PETIT A PETIT MOI CRÉER ECHELLE,FERAI ECHELLE ,<unk>,,"and I will make a ladder,"
"et quand elle sera finie, je descendrai",QUAND FINI MOI DESCENDRE,FINIR DESCENDRE ,['Fut']['Past']['Pres'],,"and when it is quite ready I will get down by it out of the tower,"
et tu m'emporteras sur ton cheval.,MONTER DEUX CHEVAL CHEVAUCHER LOIN,CHEVAL TAIRE EMPORTER ,['Past']['Pres'],,and thou shalt take me away on thy horse.
"Ils convinrent que d'ici là il viendrait la voir tous les soirs,",TOUS LES DEUX D'ACCORD JUSQU’À LA LUI TOUS LES SOIRS VENIR VOIR ELLE,ICI LA TOUS SOIRS CONVENIR VENIR VOIR ,['Pres']['Imp'],,"They agreed that he should come to her every evening, "
puisque pendant la journée venait la vieille.,JOURNEE PAS POSSIBLE CAR VIEILLE LA,JOURNEE VIEILLE VENIR ,['Imp'],,as the old woman came in the day-time.
"De tout cela, la sorcière n'eût rien deviné si, un jour, Raiponce ne lui avait dit:",SORCIERE JAMAIS DEVINER SAUF QUAND RAIPONCE DIRE,TOUT PAS SORCIERE DEVINER JOUR PAS RAIPONCE DIRE ,['Past']['Imp']['Past'],,"So the witch knew nothing of all this until once Rapunzel said to her unwittingly, "
"Dites-moi, mère-marraine, comment se fait-il que vous soyez si lourde à monter, alors que le fils du roi, lui, est en haut en un clin d'oeil?",BIZARRE TOI LOURDE MONTER ALORS QUE FILS ROI MONTER VITE,DITES -MOI MERE - MARRAINE COMMENT LOURDE FAIRE ETRE MONTER ALORS FILS ROI HAUT CLIN OEIL ,['Pres']['Pres']['Pres'],,"Mother Gothel, how is it that you climb up here so slowly, and the King's son is with me in a moment?"
Ah! scélérate! Qu'est-ce que j'entends? s'exclama la sorcière.,SORCIER COLERE DIRE QUOI ?!,AH SCELERATE ENTENDS SORCIERE EXCLAMER ,['Pres']['Pres'],,"O wicked child, cried the witch, what is this I hear!"
"Moi qui croyais t'avoir isolée du monde entier,",MOI PENSER TOI ISOLER,MOI ISOLEE MONDE ENTIER CROIRE ,['Fut'],,"I thought I had hidden thee from all the world,"
et tu m'as pourtant flouée!,TOI PIEGER MOI,POURTANT FLOUEE TAIRE ,['Past'],,and thou hast betrayed me!
"Dans la fureur de sa colère, elle empoigna les beaux cheveux de Raiponce",SORCIERE COLERE CHEVEUX RAIPONCE ATTRAPER,FUREUR COLERE EMPOIGNA BEAUX CHEVEUX RAIPONCE ,<unk>,,"In her anger she seized Rapunzel by her beautiful hair,"
"et les serra dans sa main gauche en les tournant une fois ou deux,",TOURNER TOURNER,DEUX MAIN GAUCHE FOIS SERRER TOURNER ,['Fut']['Pres'],,"struck her several times with her left hand,"
"attrapa des ciseaux de sa main droite et cric-crac, les belles nattes tombaient par terre.",ATTRAPER CISEAUX COUPER COUPER NATTES TOMBER,ATTRAPA CISEAUX MAIN DROITE CRIC - CRAC TOMBAIENT BELLES NATTES TERRE ,<unk>,,"and then grasping a pair of shears in her right snip, snap the beautiful locks lay on the ground."
"Mais si impitoyable était sa cruauté, qu'elle s'en alla déposer Raiponce dans une solitude désertique,",SORCIERE MECHANTE PRENDRE RAIPONCE ABANDONNER SEULE,IMPITOYABLE CRUAUTE RAIPONCE SOLITUDE DESERTIQUE ALLER DEPOSER ,['Imp']['Past'],,"And she was so hard-hearted that she took Rapunzel and put her in a waste and desert place,"
où elle l'abandonna à une existence misérable et pleine de détresse.,ABANDONNER ELLE MALHEUREUSE TANT PIS,EXISTENCE MISERABLE ABANDONNER PLEINE DETRESSE ,['Past'],,where she lived in great woe and misery.
"Ce même jour encore, elle revint attacher solidement les nattes au crochet de la fenêtre, et vers le soir,",SORCIERE REVENIR TOUR FENETRE CROCHET CHEVEUX RAIPONCE ATTACHER ELLE ATTENDRE SOIR,ENCORE MEME JOUR SOLIDEMENT NATTES CROCHET FENETRE REVENIR ATTACHER SOIR ,['Past'],,"The same day on which she took Rapunzel away she went back to the tower in the evening and made fast the severed locks of hair to the window-hasp,"
quand le fils de roi arriva et appela:,FILS ROI ARRIVER CRIER,FILS ROI ARRIVER APPELA ,['Pres'],,"and the King's son came and cried,"
"Raiponce, Raiponce,",RAIPONCE RAIPONCE,RAIPONCE RAIPONCE ,<unk>,,"Rapunzel, Rapunzel!"
Descends-moi tes cheveux.,TES CHEVEUX DESCENDRE ,DESCENDS TES CHEVEUX ,<unk>,,Let down your hair.
la sorcière laissa se dérouler les nattes jusqu'en bas.,SORCIERE LACHER CHEVEUX DEROULER TOUR EN BAS,SORCIERE LAISSA NATTES BAS DEROULER ,,,"Then she let the hair down, "
"Le fils de roi y monta,",FILS ROI MONTER,FILS ROI MONTER ,['Past'],,"and the King's son climbed up,"
"mais ce ne fut pas sa bien-aimée Raiponce qu'il trouva en haut,",ARRIVER EN HAUT LUI VOIR RAIPONCE NON,PAS PAS BIEN-AIMEE RAIPONCE HAUT TROUVER ,['Past']['Past'],,but instead of his dearest Rapunzel he found 
c'était la vieille sorcière qui le fixait d'un regard féroce et empoisonné.,VIEILLE SORCIERE REGARDER LUI MECHAMENT,VIEILLE SORCIERE REGARD FEROCE FIXER EMPOISONNER ,['Imp']['Imp']['Past'],,the witch looking at him with wicked glittering eyes.
"Ha, ha! ricana-t-elle, tu viens chercher la dame de ton coeur,",SORCIERE RIGOLER TOI VENIR CHERCHER TON AMOUREUSE ?,HA -T TU VIENS DAME TON COEUR CHERCHER ,,,"Aha! cried she, mocking him, you came for your darling,"
mais le bel oiseau n'est plus au nid ,MAIS ELLE DISPARU,PAS PLUS BEL OISEAU NID ETRE ,['Pres'],,"but the sweet bird sits no longer in the nest,"
et ne chante plus:,CHANTER FINI,PAS PAS CHER ,['Pres'],,and sings no more;
"le chat l'a emporté,",CHAT EMPORTER ELLE,CHAT EMPORTER ,['Pres']['Past'],,"the cat has got her,"
comme il va maintenant te crever les yeux.,MEME TOI MOI CREVER YEUX TOI,MAINTENANT YEUX ALLER CREVER ,['Pres'],,and will scratch out your eyes as well!
"Pour toi, Raiponce est perdue",FINI RAIPONCE PERDRE DETACHER,RAIPONCE PERDRE ,['Pres']['Past'],,Rapunzel is lost to you; 
tu ne la verras jamais plus!,JAMAIS VOIR ELLE,PAS PAS PAS VERRAS ,<unk>,,you will see her no more.
"Déchiré de douleur et affolé de désespoir,",FILS ROI SOUFFRIR PERDU AFFOLER,DECHIRE DOULEUR AFFOLE DESESPOIR ,,,"The King's son was beside himself with grief,"
le fils de roi sauta par la fenêtre du haut de la tour:,SAUTER FENETRE TOUR SAUTER,FILS ROI FENETRE HAUT TOUR SAUTER ,['Past'],,and in his agony he sprang from the tower:
"il ne se tua pas; mais s'il sauva sa vie,",MOURIR NON MAIS SAUVER LUI,PAS PAS TUER VIE SAUVER ,['Pres']['Pres'],,"he escaped with life,"
il perdit les yeux en tombant au milieu des épines;,TOMBER EPINE CREVER YEUX,YEUX MILIEU EPINES PERDRE TOMBER ,['Past']['Pres'],,but the thorns on which he fell put out his eyes.
"et il erra, désormais aveugle, dans la forêt,",MAINTENANT ERRER DANS FORET AVEUGLE,ERRER DESORMAIS AVEUGLE FORET ,['Pres'],,"Then he wandered blind through the wood,"
"se nourrissant de fruits sauvages et de racines,",MANGER FRUIT SAUVAGE RACINES,FRUITS SAUVAGES NOURRIR RACINES ,['Pres'],,"eating nothing but roots and berries,"
pleurant et se lamentant sans cesse,PLEURE PLEURE PLEURE PLEURE,PLEURANT CESSE LAMENTER ,['Pres'],,and doing nothing but lament and weep 
