FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
l'enfant chercha à la consoler en lui disant:,,,,,"the son comforted her and said, Weep not, dear mother,"
"Ne pleure pas, nous saurons bien éviter la mort.",,,,,"we will save ourselves, and go hence."
"La reine reprit: Va dans la forêt avec tes onze frères,",,,,,"But she said, Go forth into the forest with thy eleven brothers,"
"et que l'un de vous se tienne sans cesse en sentinelle sur la cime de l'arbre le plus élevé,",,,,,"and let one sit constantly on the highest tree which can be found,"
les yeux tournés vers la tour du château.,,,,,"and keep watch, looking towards the tower here in the castle."
"J'aurai soin d'y arborer un drapeau blanc si je mets au monde un garçon,",,,,,"If I give birth to a little son, I will put up a white flag,"
et alors vous pourrez revenir sans danger;,,,,,"and then you may venture to come back,"
"si au contraire je deviens mère d'une fille, j'y planterai un drapeau rouge comme du sang;",,,,,"but if I bear a daughter, I will hoist a red flag,"
"alors hâtez-vous de fuir bien loin,",,,,,"and then fly hence as quickly as you are able,"
et que le bon Dieu vous protège.,,,,,and may the good God protect you.
Et chaque nuit je me lèverai et prierai pour vous,,,,,And every night I will rise up and pray for you
"En hivers que vous puissiez vous réchauffer devant un feu,",,,,,"in winter that you may be able to warm yourself at a fire,"
et en été pour que vous ne vous évanouissiez pas dans la chaleur.,,,,,and in summer that you may not faint away in the heat.
"Lorsque la reine eut donné sa bénédiction à ses fils,",,,,,"After she had blessed her sons therefore,"
ceux-ci se rendirent dans la forêt.,,,,,they went forth into the forest.
"Chacun d'eux eut son tour de faire sentinelle, ",,,,,"They each kept watch in turn,"
"en grimpant au haut du chêne le plus élevé, et en tenant, de là, ses yeux fixés vers la tour. ",,,,,and sat on the highest oak and looked towards the tower.
"Quand onze jours furent passés, et que ce fut à Benjamin de veiller,",,,,,"When eleven days had passed and the turn came to Benjamin,"
"il vit qu'un drapeau avait été arboré,",,,,,he saw that a flag was being raised.
"C’était cependant pas le blanc,",,,,,"It was, however, not the white,"
"mais c'était un drapeau rouge comme du sang,",,,,,but the blood-red flag 
ce qui prouvait trop qu'ils devaient tous mourir.,,,,,which announced that they were all to die.
"Lorsqu'il eut annoncé la nouvelle à ses frères,",,,,,"When the brothers heard that,"
ceux-ci s'indignèrent et dirent:,,,,,"they were very angry and said,"
Sera-t-il dit que nous aurons dû subir la mort pour une fille?,,,,,Are we all to suffer death for the sake of a girl?
Faisons serment de nous venger!,,,,,We swear that we will avenge ourselves!
"Partout où nous trouverons une jeune fille, son sang devra couler.",,,,,"wheresoever we find a girl, her red blood shall flow."
"Cela dit, ils allèrent tous ensemble au fond de la forêt, et à l'endroit le plus épais,",,,,,"Thereupon they went deeper into the forest, and in the midst of it, where it was the darkest,"
ils trouvèrent une petite cabane misérable et déserte.,,,,,"they found a little bewitched hut, which was standing empty."
Alors ils dirent: C'est ici que nous voulons fixer notre demeure,,,,,"Then said they, Here we will dwell,"
"et toi, Benjamin, comme tu es le plus jeune et le plus faible,",,,,,"and thou Benjamin, who art the youngest and weakest,"
"tu resteras au logis et te chargeras du ménage nous autres,",,,,,"thou shalt stay at home and keep house,"
nous irons à la chasse afin de nous procurer de la nourriture.,,,,,we others will go out and get food.
"Ils allèrent donc dans la forêt, et tuèrent des lièvres, des chevreuils sauvages, des oiseaux et des pigeons; ",,,,,"Then they went into the forest and shot hares, wild deer, birds and pigeons, and whatsoever there was to eat;"
puis ils les rapportèrent à Benjamin qui dut les préparer et les faire cuire pour apaiser la faim commune.,,,,,"this they took to Benjamin, who had to dress it for them in order that they might appease their hunger."
C'est ainsi qu'ils vécurent pendant dix années dans la forêt;,,,,,"They lived together ten years in the little hut,"
et ce temps leur parut court.,,,,,and the time did not appear long to them.
Cependant la jeune fille que la mère avait mise au monde,,,,,"The little daughter which their mother the Queen had given birth to,"
était devenue grande,,,,,was now grown up;
"elle était bonne, ",,,,,"she was good of heart,"
"sa beauté était remarquable,",,,,,"and fair of face,"
et elle avait sur le front une étoile d'or.,,,,,and had a golden star on her forehead.
"Un jour que se faisait la grande lessive,",,,,,"Once, when it was the great washing,"
"elle remarqua parmi le linge douze chemises d'homme,",,,,,"she saw twelve men's shirts among the things,"
et demanda à sa mère:,,,,,"and asked her mother,"
"À qui appartiennent ces douze chemises,",,,,,"To whom do these twelve shirts belong,"
car elles sont beaucoup trop petites pour mon père?,,,,,for they are far too small for father?
La reine lui répondit avec un soupir:,,,,,"Then the Queen answered with a heavy heart,"
"Chère enfant, elles appartiennent à tes douze frères.",,,,,"Dear child, these belong to thy twelve brothers."
La jeune fille reprit: Où sont donc mes douze frères?,,,,,"Said the maiden, Where are my twelve brothers,"
je n'en ai jamais entendu parler.,,,,,I have never yet heard of them?
La reine répondit: Où ils sont! Dieu le sait:,,,,,"She replied, God knows where they are,"
ils sont errants par le monde.,,,,,they are wandering about the world.
"Alors, entraînant avec elle la jeune fille, elle ouvrit la chambre mystérieuse,",,,,,"Then she took the maiden and opened the chamber for her,"
"et lui montra les douze cercueils, avec leurs copeaux ",,,,,"and showed her the twelve coffins with the shavings,"
et leurs coussins funèbres.,,,,,and pillows for the head.
"Ces cercueils, lui dit-elle, étaient destinés à tes frères;",,,,,"These coffins, said she, were destined for thy brothers,"
mais ils se sont échappés de la maison avant ta naissance.,,,,,"but they went away secretly before thou wert born,"
Et elle lui raconta tout ce qui s'était passé.,,,,,and she related to her how everything had happened;
"Alors la jeune fille lui dit: Ne pleure pas, chère mère, je veux aller à la recherche de mes frères.",,,,,"then said the maiden, Dear mother, weep not, I will go and seek my brothers."
"Elle prit donc les douze chemises,",,,,,"So she took the twelve shirts and went forth,"
et se dirigea juste au milieu de la forêt.,,,,,and straight into the great forest.
"Elle marcha tout le jour,",,,,,"She walked the whole day,"
et arriva vers le soir à la pauvre cabane.,,,,,and in the evening she came to the bewitched hut.
"Elle y entra et trouva un jeune garçon,",,,,,"Then she entered it and found a young boy,"
"qui lui dit: D'où venez-vous, et où allez-vous?",,,,,"who asked, From whence comest thou, and whither art thou bound?"
"et s'étonna qu'elle fusse si belle,",,,,,"and was astonished that she was so beautiful,"
"and wore royal garments, and had a star on her forehead.",,,,,"and wore royal garments, and had a star on her forehead."
"À quoi elle répondit: Je suis la fille d'un roi,",,,,,"And she answered, I am a king's daughter,"
je cherche mes douze frères,,,,,"and am seeking my twelve brothers,"
et je veux aller jusqu'à ce que je les trouve.,,,,,and I will walk as far as the sky is blue until I find them.
Et elle lui montra les douze chemises qui leur appartenaient.,,,,,She likewise showed him the twelve shirts which belonged to them.
Benjamin vit bien alors que la jeune fille était sa soeur;,,,,,"Then Benjamin saw that she was his sister, "
"il lui dit: je suis Benjamin, le plus jeune de tes frères.",,,,,"and said, I am Benjamin, thy youngest brother."
"Et elle se mit à pleurer de joie, et Benjamin aussi;",,,,,"And she began to weep for joy, and Benjamin wept also,"
et ils s'embrassèrent avec une grande tendresse.,,,,,and they kissed and embraced each other with the greatest love.
Benjamin se prit à dire tout à coup:,,,,,"But after this he said, "
"Chère soeur, il y a un problème.",,,,,"Dear sister, there is still one difficulty."
Nous avons fait le serment de tuer toutes les jeunes filles que nous rencontrerions.,,,,,"We have agreed that every maiden whom we meet shall die,"
puisque nous avons été obligé de quiter le royaume à cause d’une fille.,,,,,because we have been obliged to leave our kingdom on account of a girl.
"Elle répondit: Je mourrai volontiers, si ma mort peut rendre à mes frères ce qu'ils ont perdu.",,,,,"Then said she, I will willingly die, if by so doing I can deliver my twelve brothers."
"Non, reprit Benjamin, tu ne dois pas mourir;",,,,,"No, answered he, thou shalt not die,"
"place-toi derrière cette cuve jusqu'à l'arrivée de mes onze frères,",,,,,"seat thyself beneath this tub until our eleven brothers come,"
et je les aurai bientôt mis d'accord avec moi.,,,,,and then I will soon come to an agreement with them.
"Elle s'exécuta et quand il fut nuit, les frères revinrent de la chasse,",,,,,"She did so, and when it was night the others came from hunting,"
et le repas se trouva prêt,,,,,and their dinner was ready.
"Et comme ils étaient en train de manger, ils demandèrent:",,,,,"And as they were sitting at table, and eating, they asked,"
Qu'y a-t-il de nouveau?,,,,,What news is there? 
Benjamin répondit: Ne savez-vous rien?,,,,,"Said Benjamin, Don't you know anything?"
"Non, reprirent-ils.",,,,,"No, they answered."
Benjamin ajouta: Vous êtes allés dans la forêt,,,,,"He continued, You have been in the forest"
moi je suis resté à la maison,,,,,"and I have stayed at home,"
et pourtant j'en sais plus long que vous.,,,,,and yet I know more than you do.
"Raconte donc, s'écrièrent-ils.",,,,,"Tell us then, they cried."
Il répondit: Promettez moi d'abord que la première jeune fille qui se présentera à nous ne devra pas mourir.,,,,,"He answered, But promise me that the first maiden who meets us shall not be killed."
"Nous le promettons, s'écrièrent-ils tous, raconte-nous donc.",,,,,"Yes, they all cried, she shall have mercy, only do tell us."
Alors Benjamin leur dit: Notre soeur est là.,,,,,"Then said he, Our sister is here,"
"Et il poussa la cuve,",,,,,"and he lifted up the tub,"
"et la fille du roi s'avança dans ses vêtements royaux,",,,,,and the King's daughter came forth in her royal garments
"et l'étoile d'or sur le front,",,,,,"with the golden star on her forehead,"
"et elle brillait à la fois de beauté, de finesse et de grâce.",,,,,"and she was beautiful, delicate and fair."
"Alors ils se réjouirent tous, et l'embrassèrent.",,,,,"Then they were all rejoiced, and fell on her neck, and kissed and loved her with all their hearts."
"A partir de ce moment, la jeune fille garda la maison avec Benjamin,",,,,,Now she stayed at home with Benjamin
et l'aida dans son travail.,,,,,and helped him with the work.
"Les onze frères allaient dans la forêt, poursuivaient les lièvres",,,,,"The eleven went into the forest and caught game,"
"et les chevreuils, les oiseaux et les pigeons, et rapportaient au logis le produit de leur chasse,",,,,,"and deer, and birds, and wood-pigeons that they might have food,"
que Benjamin et sa soeur apprêtaient pour le repas.,,,,,and the little sister and Benjamin took care to make it ready for them.
"Elle ramassait le bois qui servait à faire cuire les provisions, cherchait les plantes qui devaient leur tenir lieu de légumes,",,,,,"She sought for the wood for cooking and herbs for vegetables,"
"et les plaçait sur le feu, si bien que le dîner était toujours prêt lorsque les onze frères revenaient à la maison.",,,,,and put the pans on the fire so that the dinner was always ready when the eleven came.
"Elle entretenait aussi un ordre admirable dans la petite cabane,",,,,,"She likewise kept order in the little house,"
"couvrait coquettement le lit avec des draps blancs,",,,,,"and put beautifully white clean coverings on the little beds,"
de sorte que les frères vivaient avec elle une union parfaite.,,,,,and the brothers were always contented and lived in great harmony with her.
"Un jour, Benjamin et sa soeur préparèrent un très joli dîner,",,,,,"Once on a time the two at home had prepared a beautiful entertainment,"
"et quand ils furent tous réunis,",,,,,"and when they were all together,"
"ils se mirent à table, mangèrent et burent, et furent tous très joyeux.",,,,,they sat down and ate and drank and were full of gladness.
Il y avait autour de la cabane un petit jardin où se trouvaient douze lis.,,,,,"There was, however, a little garden belonging to the bewitched house wherein stood twelve lily flowers, which are likewise called students."
"La jeune fille, voulant faire une surprise agréable à ses frères,",,,,,"She wished to give her brothers pleasure,"
alla cueillir ces douze fleurs afin de les leur offrir.,,,,,"and plucked the twelve flowers, and thought she would present each brother with one while at dinner."
Mais à peine avait-elle cueilli les douze lis que ses douze frères furent changés en douze corbeaux ,,,,,"But at the self-same moment that she plucked the flowers the twelve brothers were changed into twelve ravens,"
qui s'envolèrent au-dessus de la forêt;,,,,,"and flew away over the forest,"
et la maison et le jardin s'évanouirent au même instant.,,,,,and the house and garden vanished likewise.
"La pauvre jeune fille se trouvait donc maintenant toute seule dans la forêt sauvage,",,,,,"And now the poor maiden was alone in the wild forest,"
"et comme elle regardait autour d'elle avec effroi,",,,,,"and when she looked around,"
elle aperçut à quelques pas une vieille femme qui lui dit:,,,,,"an old woman was standing near her who said,"
"Qu'as-tu fait là, mon enfant?",,,,,"My child, what hast thou done?"
Pourquoi n'avoir point laissé en paix ces douze blanches fleurs?,,,,,Why didst thou not leave the twelve white flowers growing?
"Ces fleurs étaient tes frères, qui se trouvent désormais transformés en corbeaux pour toujours.",,,,,"They were thy brothers, who are now for evermore changed into ravens."
La jeune fille dit en pleurant: N'existe-t-il donc pas un moyen de les délivrer?,,,,,"The maiden said, weeping, Is there no way of delivering them?"
"Oui, répondit la vieille, mais il n'y en a dans le monde entier qu'un seul,",,,,,"Yes, said the woman, there is but one in the whole world,"
et il est si difficile qu'il ne pourra te servir;,,,,,"and that is so hard that thou wilt not deliver them by it,"
"car tu devrais ne pas dire un seul mot, ni sourire une seule fois pendant sept années;",,,,,"for thou must be dumb for seven years, and mayst not speak or laugh,"
"et si tu prononces une seule parole,",,,,,"and if thou speakest one single word,"
"s'il manque une seule heure à l'accomplissement des sept années,",,,,,"and only an hour of the seven years is wanting,"
et la parole que tu auras prononcée causera la mort de tes frères.,,,,,"all is in vain, and thy brothers will be killed by the one word."
Alors la jeune fille pensa dans son coeur:,,,,,"Then said the maiden in her heart,"
je veux de toutes mes forces délivrer mes frères,,,,,"I know with certainty that I shall set my brothers free,"
"et alla chercher un rocher élevé, s'y installa et s'épancha,",,,,,"and went and sought a high tree and seated herself in it and span,"
et ne parla pas et ne ria pas non plus.,,,,,and neither spoke nor laughed.
Il arriva qu'un roi chassait dans la forêt;,,,,,"Now it so happened that a king was hunting in the forest,"
"ce roi avait un grand lévrier qui, parvenu en courant jusqu'au pied du rocher en haut duquel la jeune fille était assise,",,,,,"who had a great greyhound which ran to the tree on which the maiden was sitting,"
se mit à bondir à l'entour et à aboyer fortement en dressant la tête vers elle.,,,,,"and sprang about it, whining, and barking at her."
"Le roi s'approcha, aperçut la belle princesse avec l'étoile d'or sur le front,",,,,,"Then the King came by and saw the beautiful King's daughter with the golden star on her brow,"
et fut si ravi de sa beauté qu'il lui demanda si elle ne voulait point devenir son épouse.,,,,,and was so charmed with her beauty that he called to ask her if she would be his wife.
"Elle ne répondit point, mais fit un petit oui de la tête.",,,,,"She made no answer, but nodded a little with her head."
"Alors le roi monta lui-même sur le rocher, en redescendit avec elle, la plaça sur son cheval, et retourna ainsi dans son palais.",,,,,"So he climbed up the tree himself, carried her down, placed her on his horse, and bore her home."
"Là furent célébrées les noces avec autant de pompe que de joie,",,,,,"Then the wedding was solemnized with great magnificence and rejoicing,"
mais la jeune fiancée demeurât muette et sans sourire.,,,,,but the bride neither spoke nor smiled.
"Lorsqu'ils eurent vécu heureusement ensemble pendant un couple d'années,",,,,,"When they had lived happily together for a few years,"
"la mère du roi, qui était une méchante femme, se mit à calomnier la jeune reine,",,,,,"the King's mother, who was a wicked woman, began to slander the young Queen,"
et à dire au roi: C'est une misérable mendiante que tu as amenée au palais;,,,,,"and said to the King, This is a common beggar girl whom thou hast brought back with thee."
qui sait quels desseins impies elle trame contre toi!,,,,,Who knows what impious tricks she practises secretly!
Si elle est vraiment muette elle pourrait du moins rire une fois; ,,,,,"Even if she be dumb, and not able to speak, she still might laugh for once;"
celui qui ne rit jamais a une mauvaise conscience.,,,,,but those who do not laugh have bad consciences.
"Le roi ne voulut point d'abord ajouter foi à ces insinuations perfides,",,,,,"At first the King would not believe it,"
"mais sa mère les renouvela si souvent,",,,,,"but the old woman urged this so long,"
"en y ajoutant des inventions méchantes qu'il finit par se laisser persuader, et qu'il condamna sa femme à la peine de mort.",,,,,"and accused her of so many evil things, that at last the King let himself be persuaded and sentenced her to death."
"On alluma donc dans la cour un immense bûcher,",,,,,And now a great fire was lighted in the courtyard 
où la malheureuse devait être brûlée vive;,,,,,"in which she was to be burnt,"
"le roi se tenait à sa fenêtre, les yeux tout en larmes,",,,,,"and the King stood above at the window and looked on with tearful eyes,"
car il n'avait pas cessé de l'aimer.,,,,,because he still loved her so much.
"Et comme elle était déjà liée fortement contre un pilier,",,,,,"And when she was bound fast to the stake,"
"et que les rouges langues du feu dardaient vers ses vêtements,",,,,,"and the fire was licking at her clothes with its red tongue,"
il se trouva qu'en ce moment même s'accomplissaient les sept années d'épreuve;,,,,,the last instant of the seven years expired.
"soudain on entendit dans l'air un battement d'ailes,",,,,,"Then a whirring sound was heard in the air,"
"et douze corbeaux, qui dirigeaient leur vol rapide de ce côté,",,,,,"and twelve ravens came flying towards the place,"
s'abattirent autour de la jeune femme.,,,,,"and sank downwards,"
"À peine eurent-ils touché le bûcher qu'ils se changèrent en ses douze frères,",,,,,"and when they touched the earth they were her twelve brothers,"
qui lui devaient ainsi leur délivrance.,,,,,whom she had delivered.
"Ils dissipèrent les brandons fumants, éteignirent les flammes, dénouèrent les liens qui garrottaient leur soeur, et la couvrirent de baisers.",,,,,"They tore the fire asunder, extinguished the flames, set their dear sister free, and kissed and embraced her."
"Maintenant qu'elle ne craignait plus de parler,",,,,,"And now as she dared to open her mouth and speak,"
"elle raconta au roi pourquoi elle avait été si longtemps muette,",,,,,"she told the King why she had been dumb,"
et pourquoi il ne l'avait jamais vue sourire.,,,,,and had never laughed.
"Le roi se réjouit de la trouver innocente,",,,,,"The King rejoiced when he heard that she was innocent,"
et ils vécurent désormais tous ensemble heureux et unis jusqu'à la mort.,,,,,and they all lived in great unity until their death.
"La méchante belle-mère fût conduite devant le juge,",,,,,"The wicked step-mother was taken before the judge,"
"et mis dans un tonneau rempli d'huile bouillante et de serpents venimeux,",,,,,"and put into a barrel filled with boiling oil and venomous snakes,"
et mourut d'une mort maléfique.,,,,,and died an evil death.
