FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
la vieille chèvre revint de la forêt.,,,,,the mother goat came back from the wood;
"Ah, quel triste spectacle l'attendait à la maison!",,,,,"and, oh! what a sight met her eyes!"
"La porte grande ouverte,",,,,,"the door was standing wide open,"
"la table,",,,,,"table,"
"les chaises,",,,,,"chairs,"
"les bancs renversés, la vaisselle était cassée, la couverture et les oreillers du lit traînaient par terre.",,,,,"and stools, all thrown about, dishes broken, quilt and pillows torn off the bed."
"Elle chercha ses petits, mais en vain.",,,,,"She sought her children, they were nowhere to be found."
"Elle les appela par leur nom, l'un après l'autre, mais aucun ne répondit.",,,,,"She called to each of them by name, but nobody answered,"
"C'est seulement lorsqu'elle prononça le nom du plus jeune qu'une petite voix fluette se fit entendre: Je suis là, maman, dans la pendule!",,,,,"until she came to the name of the youngest. Here I am, mother, a little voice cried, here, in the clock case."
Elle l'aida à en sortir et le chevreau lui raconta que le loup était venu et qu'il avait mangé tous les autres chevreaux.,,,,,"And so she helped him out, and heard how the wolf had come, and eaten all the rest."
Imaginez combien la vieille chèvre pleura ses petits!,,,,,And you may think how she cried for the loss of her dear children.
"Toute malheureuse, elle sortit de la petite maison et le plus jeune courut derrière elle.",,,,,"At last in her grief she wandered out of doors, and the youngest kid with her;"
"Dans le pré, le loup était couché sous l'arbre et ronflait à en faire trembler les branches.",,,,,"and when they came into the meadow, there they saw the wolf lying under a tree, and snoring so that the branches shook."
La chèvre le regarda de près et observa que quelque chose bougeait et grouillait dans son gros ventre.,,,,,The mother goat looked at him carefully on all sides and she noticed how something inside his body was moving and struggling.
"Mon Dieu, pensa-t-elle, et si mes pauvres petits que le loup a mangés au dîner, étaient encore en vie?",,,,,"Dear me! thought she, can it be that my poor children that he devoured for his evening meal are still alive?"
"Elle envoya le petit à la maison pour rapporter des ciseaux,",,,,,"And she sent the little kid back to the house for a pair of shears,"
une aiguille et du fil.,,,,,"and needle, and thread."
"La chèvre cisailla le ventre du monstre,",,,,,"Then she cut the wolf's body open,"
et aussitôt le premier petit sortit la tête;,,,,,"and no sooner had she made one snip than out came the head of one of the kids,"
"elle continua et les six chevreaux en sortirent, l'un après l'autre, tous sains et saufs,",,,,,"and then another snip, and then one after the other the six little kids all jumped out alive and well,"
"car, dans sa hâte, le loup glouton les avaient avalés tout entiers.",,,,,for in his greediness the rogue had swallowed them down whole.
Quel bonheur!,,,,,How delightful this was!
"Les chevreaux se blottirent contre leur chère maman, puis gambadèrent comme le tailleur à ses noces.",,,,,so they comforted their dear mother and hopped about like tailors at a wedding.
"Mais la vieille chèvre dit: Allez, les enfants, apportez des grosses pierres,",,,,,"Now fetch some good hard stones, said the mother,"
nous les fourrerons dans le ventre de cette vilaine bête tant qu'elle est encore couchée et endormie.,,,,,"and we will fill his body with them, as he lies asleep."
Et les sept chevreaux roulèrent les pierres et en farcirent le ventre du loup jusqu'à ce qu'il soit plein.,,,,,"And so they fetched some in all haste, and put them inside him,"
"La vieille chèvre le recousit vite, de sorte que le loup ne s'aperçut de rien et ne bougea même pas.",,,,,and the mother sewed him up so quickly again that he was none the wiser.
"Quand il se réveilla enfin,",,,,,"When the wolf at last awoke,"
"il se leva,",,,,,"and got up,"
"et comme les pierres lui pesaient dans l'estomac, il eut très soif. Il voulut aller au puits pour boire,",,,,,"the stones inside him made him feel very thirsty, and as he was going to the brook to drink,"
"mais comme il se balançait en marchant, les pierres dans son ventre grondaient.",,,,,they struck and rattled one against another.
Il appelait là:,,,,,And so he cried out:
Qu'est-ce que je ressens à l'intérieur de moi,,,,,What is this I feel inside me
Qui frappe fort contre mes os ?,,,,,Knocking hard against my bones?
Comment une telle chose peut-elle m'arriver ?,,,,,How should such a thing betide me!
"Ils étaient des enfants, et maintenant ce sont des pierres.",,,,,"They were kids, and now they're stones."
"Il alla jusqu'au puits,",,,,,"So he came to the brook,"
se pencha et but.,,,,,"and stooped to drink,"
Les lourdes pierres le tirèrent sous l'eau et le loup fut noyé.,,,,,"but the heavy stones weighed him down, so he fell over into the water and was drowned."
"Les sept chevreaux accoururent alors et se mirent à crier: Le loup est mort, c'en est fini de lui!",,,,,"And when the seven little kids saw it they came up running. The wolf is dead, the wolf is dead! they cried,"
et ils se mirent à danser autour du puits et la vieille chèvre dansa avec eux.,,,,,"and taking hands, they danced with their mother all about the place."
