FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Dans chacun se trouvait un apôtre entouré de tant de lumière,,,,,"In each of them sat one of the Apostles in the midst of a great light,"
"que de sa vie elle n'avait vu un pareil éclat ni une telle magnificence. Elle s'en réjouit, et les bons anges qui l'accompagnaient toujours s'en réjouissaient avec elle.",,,,,"and she rejoiced in all the magnificence and splendour, and the little angels who always accompanied her rejoiced with her."
Maintenant restait encore la porte défendue;,,,,,"Then the forbidden door alone remained,"
"elle se sentit une grande envie de savoir ce qui était caché là derrière,",,,,,"and she felt a great desire to know what could be hidden behind it,"
et elle dit aux bons anges:,,,,,and said to the angels:
"Je ne veux pas l'ouvrir tout entière,",,,,,"I will not quite open it,"
"mais je voudrais l'entrebâiller un peu,",,,,,"and I will not go inside it, but I will unlock it"
pour que nous puissions voir à travers l'ouverture.,,,,,so that we can just see a little through the opening.
"Oh! non, dirent les bons anges, ce serait un péché:",,,,,"Oh no, said the little angels, that would be a sin."
"la Vierge Marie l'a défendu, et il pourrait, bien t'en arriver malheur.",,,,,"The Virgin Mary has forbidden it, and it might easily cause thy unhappiness."
"La jeune fille ne dit rien,",,,,,"Then she was silent,"
mais le désir et la curiosité continuèrent à parler dans son coeur,,,,,"but the desire in her heart was not stilled, but gnawed there "
et à la tourmenter sans lui laisser de repos.,,,,,"and tormented her, and let her have no rest."
"Quand les bons anges furent enfin partis,",,,,,"And once when the angels had all gone out, "
elle pensa en elle-même:,,,,,she thought:
Maintenant je suis toute seule;,,,,,"Now I am quite alone, and I could peep in. If I do it, "
qui me verra?,,,,,no one will ever know.
Et elle alla prendre la clef.,,,,,"She sought out the key,"
"Quand elle l'eut prise, elle la mit dans le trou de la serrure,",,,,,"and when she had got it in her hand, she put it in the lock,"
"et, quand elle l'y eut placée, elle tourna.",,,,,"and when she had put it in, she turned it round as well."
La porte s'ouvrit et elle vit au milieu du feu et de la lumière la Trinité assise;,,,,,"Then the door sprang open, and she saw there the Trinity sitting in fire and splendour. She stayed there awhile, and looked at everything in amazement;"
"elle toucha légèrement la lumière du bout de son doigt,",,,,,"then she touched the light a little with her finger,"
et son doigt devint couleur d'or.,,,,,and her finger became quite golden.
"Alors elle eut peur, elle ferma bien vite la porte et se sauva.",,,,,"Immediately a great fear fell on her. She shut the door violently, and ran away."
"Mais elle continua d'avoir peur,",,,,,"Her terror too would not quit her,"
"quoi qu'elle fit, et son coeur , battait toujours sans vouloir se calmer,",,,,,"let her do what she might, and her heart beat continually and would not be still;"
"et la couleur de l'or restait sur son doigt et ne s'effaçait pas,",,,,,"the gold too stayed on her finger, and would not go away,"
quelque soin qu'elle prît de le laver.,,,,,let her rub it and wash it never so much.
"Au bout de peu de jours la Vierge Marie revint de son voyage,",,,,,It was not long before the Virgin Mary came back from her journey.
appela la jeune fille et lui demanda les clefs du paradis.,,,,,"She called the girl before her, and asked to have the keys of heaven back."
"Pendant qu'elle présentait le trousseau, la Vierge la regarda et lui dit:",,,,,"When the maiden gave her the bunch, the Virgin looked into her eyes and said:"
N'as-tu pas aussi ouvert la treizième porte?,,,,,Hast thou not opened the thirteenth door also?
"Non, répondit-elle.",,,,,"No, she replied."
La Vierge porta la main à son coeur;,,,,,"Then she laid her hand on the girl's heart,"
"elle sentit qu'il battait et battait très fort,",,,,,"and felt how it beat and beat,"
et s'aperçut bien qu'elle avait violé son commandement et ouvert la porte défendue.,,,,,and saw right well that she had disobeyed her order and had opened the door.
"Elle lui dit encore: En vérité, en es-tu certaine ?",,,,,Then she said once again: Art thou certain that thou hast not done it?
"Yes, dit une seconde fois la jeune fille.",,,,,"Yes, said the girl, for the second time."
"La Vierge regarda le doigt qui s'était doré en touchant la lumière du ciel,",,,,,"Then she perceived the finger which had become golden from touching the fire of heaven,"
"et ne douta plus que l'enfant ne fût coupable,",,,,,"and saw well that the child had sinned,"
et lui dit une troisième fois:,,,,,and said for the third time:
Ne l'as-tu pas fait?,,,,,Hast thou not done it?
"Non, dit la jeune fille une troisième fois.",,,,,"No, said the girl for the third time."
La Vierge Marie dit alors: Tu ne m'as pas obéi et tu as menti;,,,,,"Then said the Virgin Mary: Thou hast not obeyed me, and besides that thou hast lied,"
tu ne mérites plus de rester dans le ciel.,,,,,thou art no longer worthy to be in heaven.
"La jeune fille tomba dans un profond sommeil,",,,,,"Then the girl fell into a deep sleep,"
"et, quand elle se réveilla, elle était couchée sur le sol,",,,,,"and when she awoke she lay on the earth below,"
au milieu d'un endroit désert.,,,,,and in the midst of a wilderness.
"Elle voulut appeler,",,,,,"She wanted to cry out,"
mais elle ne pouvait faire entendre aucun son;,,,,,but she could bring forth no sound.
"elle se leva et voulut se sauver,",,,,,"She sprang up and wanted to run away,"
"mais, de quelque côté qu'elle se tournât,",,,,,"but whithersoever she turned herself,"
elle était arrêtée par un épais taillis qu'elle ne pouvait franchir.,,,,,she was continually held back by thick hedges of thorns through which she could not break.
Dans le désert où elle était ainsi enfermée se trouvait un vieil arbre dont le tronc creux lui servit d'habitation.,,,,,"In the desert, in which she was imprisoned, there stood an old hollow tree, and this had to be her dwelling-place."
"La nuit elle y dormait,",,,,,"Into this she crept when night came, and here she slept."
"et, quand il faisait de la pluie ou de l'orage, elle y trouvait un abri.",,,,,"Here, too, she found a shelter from storm and rain, but it was a miserable life,"
"Des racines, des baies sauvages étaient sa seule nourriture,",,,,,"Roots and wild berries were her only food,"
et elle en cherchait aussi loin qu'elle pouvait aller.,,,,,and for these she sought as far as she could go.
"Pendant l'automne, elle ramassait les feuilles de l'arbre,",,,,,"In the autumn she picked up the fallen nuts and leaves,"
"les portait dans le creux,",,,,,and carried them into the hole.
"et quand la neige et le froid arrivaient, elle venait s'y cacher.",,,,,"The nuts were her food in winter, and when snow and ice came,"
Ses vêtements s'usèrent à la fin et se détachèrent par lambeaux; il fallut encore qu'elle s'enveloppât dans les feuilles.,,,,,"she crept amongst the leaves like a poor little animal that she might not freeze. Before long her clothes were all torn, and one bit of them after another fell off her. "
"Puis, dès que le soleil reprenait sa chaleur,",,,,,"As soon, however, as the sun shone warm again,"
"elle sortait,",,,,,she went out
"se plaçait au pied de l'arbre,",,,,,"and sat in front of the tree,"
et ses longs cheveux la couvraient de tous côtés comme un manteau.,,,,,and her long hair covered her on all sides like a mantle.
"Elle demeura longtemps dans cet état, éprouvant toutes les misères et toutes les souffrances du monde.",,,,,"Thus she sat year after year, and felt the pain and the misery of the world."
"Un jour de printemps,",,,,,"One day, when the trees were once more clothed in fresh green,"
le roi du pays chassait dans la forêt et poursuivait une pièce de gibier.,,,,,"the King of the country was hunting in the forest, and followed a roe,"
"L'animal s'étant réfugié dans le taillis qui entourait le vieil arbre creux,",,,,,"and as it had fled into the thicket which shut in this part of the forest,"
"le prince descendit de cheval,",,,,,"he got off his horse,"
sépara les branches du fourré et s'y ouvrit un chemin avec son épée.,,,,,"tore the bushes asunder, and cut himself a path with his sword."
"Quand il eut réussi à le franchir,",,,,,"When he had at last forced his way through,"
"il vit assise sous l'arbre une jeune fille merveilleusement belle,",,,,,he saw a wonderfully beautiful maiden sitting under the tree;
que ses cheveux d'or couvraient tout entière jusqu'à la pointe des pieds.,,,,,and she sat there and was entirely covered with her golden hair down to her very feet.
Il la regarda avec étonnement et lui dit: Comment es-tu venue dans ce désert?,,,,,"He stood still and looked at her full of surprise, then he spoke to her and said: Who art thou? Why art thou sitting here in the wilderness?"
"Elle resta muette, car il lui était impossible d'ouvrir la bouche.",,,,,"But she gave no answer, for she could not open her mouth."
Le roi lui dit encore:,,,,,The King continued:
Veux-tu venir avec moi dans mon palais?,,,,,Wilt thou go with me to my castle?
Elle fit seulement un petit signe de la tète.,,,,,Then she just nodded her head a little.
"Le roi la prit dans ses bras,",,,,,"The King took her in his arms,"
"la porta sur son cheval et l'emmena dans sa demeure,",,,,,"carried her to his horse, and rode home with her, and when he reached the royal castle"
où il lui fit prendre des vêtements et lui donna tout en abondance.,,,,,"he caused her to be dressed in beautiful garments, and gave her all things in abundance."
"Quoiqu'elle ne pût parler,",,,,,"Although she could not speak,"
elle était si belle et si gracieuse qu'il se prit pour elle d'une grande passion et l'épousa.,,,,,"she was still so beautiful and charming that he began to love her with all his heart, and it was not long before he married her."
Une année à peu près s'était écoulée quand la reine mit au monde un fils.,,,,,"After a year or so had passed, the Queen brought a son into the world."
"La nuit, comme elle était couchée seule dans son lit, la Vierge Marie lui apparut et lui parla ainsi:",,,,,"Thereupon the Virgin Mary appeared to her in the night when she lay in her bed alone, and said:"
"Si tu veux enfin dire la vérité et avouer que tu as ouvert la porte défendue,",,,,,"If thou wilt tell the truth and confess that thou didst unlock the forbidden door,"
je t'ouvrirai la bouche et te rendrai la parole;,,,,,"I will open thy mouth and give thee back thy speech,"
"mais si tu t'obstines dans le péché et persistes à mentir,",,,,,"but if thou perseverest in thy sin, and deniest obstinately,"
j'emporterai avec moi ton enfant nouveau-né.,,,,,I will take thy new-born child away with me.
"Alors il fut permis à la reine de répondre, mais elle dit:",,,,,"Then the queen was permitted to answer, but she remained hard, and said:"
"Non, je n'ai pas ouvert la porte défendue.",,,,,"No, I did not open the forbidden door,"
Et la Vierge Marie enleva de ses bras son enfant nouveau-né et disparut avec lui.,,,,,"and the Virgin Mary took the new-born child from her arms, and vanished with it."
"Le lendemain matin, quand on ne trouva plus l'enfant,",,,,,"Next morning when the child was not to be found,"
un bruit se répandit parmi les gens du palais que la reine était une ogresse,,,,,"it was whispered among the people that the Queen was a man-eater,"
et qu'elle l'avait tué.,,,,,and had killed her own child.
Elle entendait tout et ne pouvait rien répondre;,,,,,"She heard all this and could say nothing to the contrary,"
mais le roi l'aimait trop tendrement pour croire ce qui se disait.,,,,,"but the King would not believe it, for he loved her so much."
Au bout d'un an la reine eut encore un fils;,,,,,"When a year had gone by the Queen again bore a son,"
la Vierge Marie se présenta de nouveau la nuit devant elle et lui dit:,,,,,"and in the night the Virgin Mary again came to her, and said:"
"Si tu veux enfin avouer que tu as ouvert la porte défendue,",,,,,"If thou wilt confess that thou openedst the forbidden door,"
je te rendrai ton enfant et je te délierai la langue;,,,,,I will give thee thy child back and untie thy tongue;
"mais si tu t'obstines dans ton péché et continues à mentir,",,,,,"but if you continuest in sin and deniest it,"
j'emporterai encore ton nouveau-né.,,,,,I will take away with me this new child also.
La reine dit comme la première fois:,,,,,Then the Queen again said:
"Non, je n'ai pas ouvert la porte défendue.",,,,,"No, I did not open the forbidden door;"
Et la Vierge lui prit dans ses bras son enfant,,,,,"and the Virgin took the child out of her arms,"
et l'enleva dans le ciel.,,,,,and away with her to heaven.
"Le matin, quand les gens apprirent que l'enfant avait encore disparu,",,,,,"Next morning, when this child also had disappeared,"
"ils dirent tout haut que la reine l'avait mangé,",,,,,"the people declared quite loudly that the Queen had devoured it,"
et les conseillers du roi demandèrent qu'on lui fit son procès.,,,,,and the King's councillors demanded that she should be brought to justice.
Mais le roi l'aimait si tendrement qu'il n'en voulut rien croire,,,,,"The King, however, loved her so dearly that he would not believe it,"
et qu'il ordonna à ses conseillers de ne plus reparler de cela sous peine de la vie.,,,,,and commanded the councillors under pain of death not to say any more about it.
"La troisième année,",,,,,The following year
"la reine donna le jour à une belle petite fille,",,,,,"the Queen gave birth to a beautiful little daughter,"
et la Vierge Marie lui apparut encore pendant la nuit et lui dit: Suis-moi.,,,,,and for the third time the Virgin Mary appeared to her in the night and said: Follow me.
"Elle la prit par la main, la conduisit dans le ciel",,,,,"She took the Queen by the hand and led her to heaven,"
et lui montra ses deux premiers-nés qui lui souriaient,,,,,"and showed her there her two eldest children, who smiled at her,"
et jouaient avec le globe du monde.,,,,,and were playing with the ball of the world.
"Et comme la mère se réjouissait de les voir,",,,,,"When the Queen rejoiced thereat,"
la Vierge Marie lui dit:,,,,,the Virgin Mary said:
"Si tu veux avouer maintenant que tu as ouvert la porte défendue,",,,,,"Is thy heart not yet softened? If thou wilt own that thou openedst the forbidden door,"
je te rendrai tes deux beaux petits garçons.,,,,,I will give thee back thy two little sons.
La reine répondit pour la troisième fois:,,,,,But for the third time the Queen answered:
"Non, je n'ai pas ouvert la porte défendue.",,,,,"No, I did not open the forbidden door."
La Vierge la laissa retomber sur la terre,,,,,"Then the Virgin let her sink down to earth once more,"
et lui prit son troisième enfant.,,,,,and took from her likewise her third child.
"Le lendemain matin,",,,,,"Next morning,"
"quand on ne le trouva plus,",,,,,"when the loss was reported abroad,"
chacun dit tout haut:,,,,,all the people cried loudly:
La reine est une ogresse;,,,,,The Queen is a man-eater.
il faut qu'elle soit jugée.,,,,,"She must be judged,"
Et le roi ne put cette fois repousser l'avis de ses conseillers.,,,,,and the King was no longer able to restrain his councillors.
"Elle fut appelée devant un tribunal,",,,,,"Thereupon a trial was held,"
"et comme elle ne pouvait ni répondre ni se défendre,",,,,,"and as she could not answer, and defend herself,"
elle fut condamnée à périr sur le bûcher.,,,,,she was condemned to be burnt alive.
"Le bois était amassé, elle était attachée au poteau,",,,,,"The wood was got together, and when she was fast bound to the stake,"
"et la flamme commençait à s'élever autour d'elle,",,,,,"and the fire began to burn round about her,"
lorsque son coeur fut touché de repentir:,,,,,"the hard ice of pride melted, her heart was moved by repentance,"
"Si je pouvais avant de mourir, pensa-t-elle, avouer que j'ai ouvert la porte!",,,,,and she thought: If I could but confess before my death that I opened the door.
"Et elle cria: Oui, Marie, je suis coupable! Comme cette pensée lui venait au coeur,",,,,,"Then her voice came back to her, and she cried out loudly: Yes, Mary, I did it,"
la pluie commença à tomber du ciel et éteignit le feu du bûcher:,,,,,"and straight-way rain fell from the sky and extinguished the flames of fire, "
"une lumière se répandit autour d'elle,",,,,,"and a light broke forth above her,"
"et la Vierge Marie descendit,",,,,,and the Virgin Mary descended
ayant à ses côtés les deux fils premiers nés et portant dans ses bras la petite fille venue la dernière.,,,,,"with the two little sons by her side, and the new-born daughter in her arms."
Elle dit à la reine d'un ton plein de bonté:,,,,,"She spoke kindly to her, and said:"
Il est pardonné à celui qui avoue son péché et s'en repent.,,,,,"He who repents his sin and acknowledges it, is forgiven."
"Elle lui présenta les enfants,",,,,,"Then she gave her the three children,"
lui délia la langue ,,,,,"untied her tongue,"
et lui donna du bonheur pour toute sa vie.,,,,,and granted her happiness for her whole life.
