FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
occupe-toi encore une fois de la maison toute seule.,,,,,and once more manage the house alone for a day.
on m'a encore demandé d'être le parrain.,,,,,"I have been asked again to be godfather,"
"Le chaton a une collerette blanche au cou,",,,,,"and since the child has a white ring around its neck, "
je ne peux pas refuser.,,,,,I cannot refuse.
La gentille souris fut d'accord.,,,,,The good mouse consented.
"Et le chat se glissa à travers le mur de la ville, s'introduisit dans l'église et vida la moitié du pot de saindoux.",,,,,"However, the cat crept behind the town wall to the church, and devoured half the pot of fat."
"Rien à faire, se dit-il, c'est bien meilleur quand on mange tout seul.",,,,,"Nothing tastes as good as that which one eats by oneself, he said,"
Et il se félicita de son exploit.,,,,,and was quite satisfied with his day's work.
"Lorsqu'il arriva à la maison, la petite souris demanda:",,,,,"When he arrived home the mouse asked,"
Comment avez-vous baptisé le bébé?,,,,,What name was this child christened with?
"Miparti, répondit le chat.",,,,,"Half-Gone, answered the cat."
Miparti? Pas possible! je n'ai jamais entendu un nom pareil.,,,,,Half-Gone? What are you saying? I have never heard that name in all my life.
Je parie qu'il n'est même pas dans le calendrier.,,,,,I'll wager it is not in the almanac.
Le chat ne tarda pas à se sentir de nouveau l'eau à la bouche en pensant au pot de saindoux.,,,,,The cat's mouth soon again began to water for the delicious goods.
"Jamais deux sans trois, dit-il à la souris.",,,,,"All good things come in threes, he said to the mouse. "
On me demande de nouveau d'être le parrain.,,,,,I have been asked to be godfather again.
"L'enfant est tout noir,",,,,,"The child is totally black,"
"seules les pattes sont blanches, elles mis à part, il n'a pas un seul poil blanc.",,,,,only it has white paws. Otherwise it has not a single white hair on its whole body.
Un enfant comme ça ne nait qu'une fois par siècle! ,,,,,This only happens once every few years. 
"Tu me laisseras y aller, n'est-ce pas?",,,,,"You will let me go, won't you?"
"Sanledessu! Miparti! répondit la souris, ce sont des noms si étranges. Cela ne s'est jamais vu.",,,,,"Top-Off. Half-Gone, answered the mouse. They are such odd names,"
Ils me trottent dans la tête sans arrêt.,,,,,that they make me stop and think.
"C'est parce que tu restes tout le temps ici,",,,,,"Here you sit at home, said the cat,"
"avec ta vilaine robe gris foncé à longue natte,",,,,,with your dark gray fur coat and long braid of hair capturing fantasies.
"tu passes toutes tes journées enfermée ici,",,,,,That is because you do not go out in the daytime.
"Le chat parti, la petite souris fit le ménage dans toute la maison.",,,,,"During the cat's absence the mouse cleaned the house, and put it in order,"
"Pendant ce temps-là, le chat gourmand vida entièrement le pot de saindoux.",,,,,but the greedy cat devoured all the rest of the fat.
"Et voilà, pensa-t-il, maintenant que j'ai tout mangé, je ne serai plus tenté.",,,,,"One has peace only after everything is eaten up, he said to himself."
"Si repu qu'il s'essoufflait en marchant,",,,,,"Well filled and fat, "
"il ne rentra à la maison que la nuit, mais serein.",,,,,he did not return home until nighttime.
La petite souris lui demanda aussitôt le nom du troisième chaton.,,,,,The mouse immediately asked what name had been given to the third child.
"Je suis sûr que tu n'aimeras pas, répondit le chat.",,,,,"You will not like it either, said the cat. "
Il s'appelle Toufini.,,,,,His name is All-Gone.
Toufini! chicota la souris.,,,,,"All-Gone!, cried the mouse."
"Cela parait suspect, ce nom ne me dit rien qui vaille.",,,,,That is the most worrisome name of all.
Je ne l'ai jamais vu imprimé quelque part.,,,,,I have never seen it in print.
"Toufini! Qu'est ce que cela veut dire, en fait?",,,,,All-Gone! What can that mean?
"Elle hocha la tête, se roula en boule et s'endormit.",,,,,"Then she shook her head, curled herself up, and lay down to sleep."
"Depuis ce jour, plus personne n'invita le chat à un baptême.",,,,,"From this time forth no one invited the cat to be godfather,"
"L'hiver arriva, et dehors, il n'y avait rien à manger.",,,,,"but when winter had come and there was no longer anything to be found outside,"
La petite souris se rappela qu'ils avaient quelque chose en réserve.,,,,,"the mouse thought of their stored food,"
"Viens, mon chat,",,,,,"and said, Come cat,"
allons chercher notre pot de saindoux que nous avons caché pour les temps durs.,,,,,we will go to our pot of fat which we have stored up for ourselves.
On va se régaler.,,,,,It will taste good now.
"Tu te régaleras, tu te régaleras, marmonna le chat,",,,,,"Yes, answered the cat."
cela sera comme si tu sortais ta petite langue fine par la fenêtre.,,,,,You will enjoy it as much as you would enjoy sticking that dainty tongue of yours out of the window.
"Ils s'en allèrent et lorsqu'ils arrivèrent dans l'église,",,,,,"They set out on their way, but when they arrived,"
le pot était toujours à sa place mais vide.,,,,,"the pot of fat, to be sure, was still in its place, but it was empty."
"Ça y est, dit la souris, je comprends tout, j'y vois clair à présent.",,,,,"Alas, said the mouse, now I see what has happened. Now it comes to light."
Tu parles d'un ami! ,,,,,You are a true friend.
Tu as tout mangé quand tu allais faire le parrain:,,,,,You ate everything when you were serving as a godfather.
"d'abord Sanledessu, puis Miparti et pour finir",,,,,"First top off, then half done, then..."
"Tais-toi, coupa le chat, encore un mot et je te mange!",,,,,"Be quiet! cried the cat. One more word, and I will eat you too."
"Mais la petite souris avait le Toufini sur la langue,",,,,,"All gone, was already on the poor mouse's lips."
"et à peine l'eut-elle prononcé que le chat lui sauta dessus,",,,,,"She had scarcely spoken it before the cat sprang on her,"
l'attrapa et la dévora.,,,,,"seized her, and swallowed her down."
"Eh oui, ainsi va le monde.",,,,,"You see, that is the way of the world."
