FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
La jeune fille resta seule au château. ,JEUNE FILLE RESTER SEULE DANS CHATEAU,JEUNE FILLE SEULE CHATEAU RESTER ,['Pres'],,and the maiden was left behind alone in the castle. ,40,,
"Elle s'y promena partout, visitant les salles et les chambres à sa fantaisie. ",ELLE PROMENER PARTOUT VISITER TOUTES SALLES TOUTES CHAMBRES COMME ELLE VOULOIR,PARTOUT PROMENER SALLES CHAMBRES FANTAISIE VISITANT ,['Pres'],,"She wandered about into all the nooks and corners, and into all the chambers and parlours, as the fancy took her, ",41,,
"Finalement, elle entra dans une vieille tour. ",FINALEMENT ELLE ENTRER VIEILLE TOUR,FINALEMENT VIEILLE TOUR ENTRER ,['Fut'],,till at last she came to an old tower. ,42,,
Elle escalada l'étroit escalier en colimaçon et parvint à une petite porte. ,ESCALIER COLIMACON ETROIT ESCALADER ARRIVER PETITE PORTE,ETROIT ESCALIER COLIMACON PETITE PORTE ESCALADER PARVENIR ,['Pres']['Past'],,"She climbed the narrow winding stair which led to a little door, ",43,,
"Dans la serrure, il y avait une clé rouillée. ",DANS SERRURE LA CLE ROUILLER,SERRURE AVOIR ROUILLEE ,['Imp']['Past']['Past'],,with a rusty key sticking out of the lock; ,44,,
Elle la tourna. La porte s'ouvrit brusquement. ,CLE TOURNER PORTE VIOLAMENT S'OUVRIR ,TOURNA PORTE BRUSQUEMENT OUVRIR ,['Imp'],,"she turned the key, and the door opened, ",45,,
"Une vieille femme filant son lin avec application, était assise dans une petite chambre.",VEILLE FEMME FILER SES VETEMENTS ELLE ASSOIR DANS PETITE CHAMBRE,VIEILLE FEMME LIN APPLICATION FILANT PETITE CHAMBRE ASSISE ,['Pres']['Imp']['Past'],,"and there in the little room sat an old woman with a spindle, diligently spinning her flax.",46,,
"Bonjour, grand-mère, dit la jeune fille. ",JEUNE FILLE DIRE BONJOUR GRAND MERE,BONJOUR GRAND-MERE JEUNE FILLE DIRE ,['Pres'],,"Good day, mother, said the princess, ",47,,
Que fais-tu là? ,TOI FAIRE QUOI ICI ?,FAIS TOI LA ,<unk>,,what are you doing? ,48,,
"Je file, dit la vieille en branlant la tête. ",VIEILLE DIRE MOI FILER,FILE VIEILLE TETE DIRE BRANLANT ,['Pres']['Pres'],,"I am spinning, answered the old woman, nodding her head. ",49,,
"Qu'est-ce donc que cette chose que tu fais bondir si joyeusement, demanda la jeune fille. ",JEUNE FILLE DEMANDER C'EST QUOI TOI FAIRE SI JOYEUSEMENT,DONC CHOSE TOI FAIS JOYEUSEMENT BONDIR JEUNE FILLE DEMANDA ,['Pres']['Past'],,"What thing is that that twists round so briskly? asked the maiden, ",50,,
Elle s'empara du fuseau et voulut filer à son tour. ,ELLE PRENDRE MACHINE COUDRE ELLE VOULOIR FILER SON TOUR,FUSEAU TOUR EMPARER VOULOIR FILER ,['Fut'],,and taking the spindle into her hand she began to spin; ,51,,
A peine l'eut-elle touché que le mauvais sort s'accomplit: ,JUSTE TOUCHER MAUVAIS SORT ACCOMPLIR,PEINE MAUVAIS ACCOMPLIT TOUCHE SORT ,['Past']['Past']['Past'],,"but no sooner had she touched it than the evil prophecy was fulfilled, ",52,,
elle se piqua au doigt. ,AIGUILLE PIQUER DOIGT,DOIGT PIQUER ,['Pres'],,and she pricked her finger with it. ,53,,
"A l'instant même, elle s'affaissa sur un lit qui se trouvait là et tomba dans un profond sommeil.",MEME MOMENT ELLE S'ASSOIR SUR LIT LA S'ENDORMIR SOMMEIL PROFOND,INSTANT MEME LIT LA PROFOND SOMMEIL AFFAISSER TROUVER TOMBA ,['Past']['Imp']['Past'],,"In that very moment she fell back upon the bed that stood there, and lay in a deep sleep.",54,,
Et ce sommeil se répandit sur l'ensemble du château. ,SOMMEIL REPANDRE SUR CHATEAU ENTIER,SOMMEIL ENSEMBLE CHATEAU REPANDRE ,['Past'],,And this sleep fell upon the whole castle; ,55,,
"Le roi et la reine, qui venaient tout juste de revenir et pénétraient dans la grande salle du palais, s'endormirent. ",ROI REINE JUSTE REVENIR ENTRER GRANDE SALLE PALAIS EUX S'ENDORMIR,ROI REINE TOUT JUSTE GRANDE SALLE PALAIS VENIR REVENIR PENETRER ENDORMIR ,['Pres']['Pres']['Pres'],,"the king and queen, who had returned and were in the great hall, fell fast asleep, ",56,,
"Et avec eux, toute la Cour. ",AVEC EUX TOUTE COUR AUSSI,TOUTE COUR ,<unk>,,and with them the whole court. ,57,,
"Les chevaux s'endormirent dans leurs écuries, ",CHEVAUX DANS ECURIE S'ENDORMIR,CHEVAUX ECURIES ENDORMIR ,['Pres'],,"The horses in their stalls, ",58,,
"les chiens dans la cour, ",CHIEN DANS COUR AUSSI,CHIENS COUR ,<unk>,,"the dogs in the yard, ",59,,
"les pigeons sur le toit, ",PIGEONS SUR TOIT DORMIR,PIGEONS TOIT ,<unk>,,"the pigeons on the roof, ",60,,
les mouches contre les murs. ,MOUCHE MUR CONTRE AUSSI,MOUCHES MURS ,<unk>,,"the flies on the wall, ",61,,
Même le feu qui brûlait dans l'âtre s'endormit ,MEME FEU BRULER DANS CHEMINER S'ETEINDRE DORMIR,MEME FEU ATRE ENDORMIT BRULER ,['Imp'],,"the very fire that flickered on the hearth, became still, and slept like the rest; ",62,,
et le rôti s'arrêta de rôtir. ,POULET ROTIR ARRETER ROTIR,ROTI ARRETER ROTIR ,['Pres'],,"and the meat on the spit ceased roasting, ",63,,
"Le cuisinier, qui était en train de tirer les cheveux du marmiton parce qu'il avait raté un plat, le lâcha et s'endormit. ",CHEF CUISINIER ENLEVER CHEVEUX DANS MARMITE CAR RATER PLAT LACHER CHEVEUX S'ENDORMIR,CUISINIER TRAIN CHEVEUX MARMITON PLAT TIRER RATE LACHA ENDORMIT ,['Imp']['Imp']['Past'],,"and the cook, who was going to pull the scullion's hair for some mistake he had made, let him go, and went to sleep. ",64,,
Et le vent cessa de souffler. ,VENT ARRETER SOUFFLER,VENT CESSER SOUFFLER ,['Past'],,"And the wind ceased, ",65,,
Nulle feuille ne bougea plus sur les arbres devant le château. ,AUCUNE FEUILLE SUR ARBRE DEVANT CHATEAU BOUGER,NULLE NE PLUS ARBRES CHATEAU FEUILLE BOUGER ,['Past']['Pres'],,and not a leaf fell from the trees about the castle. ,66,,
"Tout autour du palais, une hale d'épines se mit à pousser, qui chaque jour devint plus haute et plus touffue. ",PALAIS AUTOUR CORDE EPINE POUSSER CHAQUE JOUR PLUS HAUTE PLUS TOUFFUE,TOUT AUTOUR PALAIS HALE EPINES METTRE POUSSER JOUR PLUS HAUTE PLUS TOUFFUE DEVINT ,['Past']['Past'],,"Then round about that place there grew a hedge of thorns thicker every year, ",67,,
"Bientôt, elle cerna complètement le château, ",BIENTOT CERNER COMPLETEMENT CHATEAU,BIENTOT COMPLETEMENT CHATEAU CERNER ,['Past'],,"until at last the whole castle was hidden from view, ",68,,
"jusqu'à ce qu'on n'en vît plus rien, même pas le drapeau sur le toit.",JUSQU’A PLUS RIEN VOIR SUR TOIT DRAPEAU CACHER,VIT PLUS MEME PAS DRAPEAU TOIT ,<unk>,,and nothing of it could be seen but the vane on the roof.,69,,
"Dans le pays, la légende de la Belle au Bois Dormant c'est ainsi que fut nommée la fille du roi, se répandait. ",DANS PAYS BELLE BOIS DORMANT NOM DONNER FILLE ROI LEGENDE REPANDRE,PAYS LEGENDE BELLE BOIS DORMANT AINSI FILLE ROI NOMMEE REPANDRE ,['Pres']['Past']['Past']['Imp'],,"And a rumour went abroad in all that country of the beautiful sleeping Rosamond, for so was the princess called; ",70,,
"De temps en temps, des fils de roi s'approchaient du château et tentaient d'y pénétrer à travers l'épaisse muraille d'épines. ",TEMPS TEMPS FILS ROI APPROCHER CHATEAU ESSAYER ENTRER TRAVER MURAILLE EPAISSE EPINE,TEMPS TEMPS FILS ROI APPROCHAIENT CHATEAU TRAVERS EPAISSE MURAILLE EPINES TENTER PENETRER ,['Pres'],,and from time to time many kings'sons came and tried to force their way through the hedge; ,71,,
Mais ils n'y parvenaient pas. ,MAIS PAS REUSSIR,PARVENAIENT PAS ,<unk>,,"but it was impossible for them to do so, ",72,,
"Les épines se tenaient entre elles, comme par des mains. ",EPINE SE TENIR MAIN,EPINES TENIR MAINS ,['Pres'],,"for the thorns held fast together like strong hands, ",73,,
"Les jeunes princes y restaient accrochés, ",JEUNE PRINCES RESTER ACCROCHER,JEUNES PRINCES RESTAIENT ACCROCHES ,<unk>,,"and the young men were caught by them, ",74,,
sans pouvoir se détacher ,IMPOSSIBLE DETACHER,POUVOIR DETACHER ,,,"and not being able to get free, ",75,,
"et mouraient là, d'une mort cruelle.",MOURIR LA MORT CRUELLE,MOURAIENT LA MORT CRUELLE ,<unk>,,there died a lamentable death.,76,,
"Au bout de longues, longues années, le fils d'un roi passa par le pays. ",APRES LONGUE LONGUE ANNEE FILS ROI PASSER CE PAYS,BOUT LONGUES LONGUES ANNEES FILS ROI PAYS PASSER ,['Pres'],,"Many a long year afterwards there came a king's son into that country, ",77,,
"Un vieillard lui raconta l'histoire de la haie d'épines. Derrière elle, il devait y avoir un château",VIEILLARD RACONTER HISTOIRE HAIE EPINE LUI PENSER DERRIER LA CHATEAU,VIEILLARD HISTOIRE HAIE EPINES RACONTER CHATEAU DEVOIR AVOIR ,['Pres']['Imp'],,"and heard an old man tell how there should be a castle standing behind the hedge of thorns, ",78,,
"dans lequel dormait, depuis cent ans, la merveilleuse fille d'un roi, appelée la Belle au Bois Dormant. ",DEDANS DEPUIS CENT ANS DORMIR MERVEILLEUSE FILLE DE ROI NOMMER BELLE BOIS DORMANT,DORMIR CENT ANS MERVEILLEUSE FILLE ROI BELLE BOIS DORMANT APPELEE ,['Imp']['Past'],,"and that there a beautiful enchanted princess named Rosamond had slept for a hundred years, ",79,,
"Avec elle, dormaient le roi, la reine et toute la Cour. ",AVEC ELLE DORMIR ROI REINE TOUTE COUR,DORMAIENT ROI REINE TOUTE COUR ,<unk>,,"and with her the king and queen, and the whole court. ",80,,
Le vieil homme avait aussi appris de son grand-père que de nombreux princes étaient déjà venus qui avaient tenté de forcer la hale d'épines; ,VEILLE HOMME SON GRAND PERE LUI DIRE NOMBREUX PRINCE DÉJA VENU ESSAYER FORCE PASSER MUR EPINE,VIEIL HOMME AUSSI GRAND-PERE NOMBREUX PRINCES DEJA HALE EPINES APPRIS VENUS TENTE FORCER ,['Imp']['Past']['Imp']['Past']['Imp']['Past'],,"The old man had been told by his grandfather that many king's sons had sought to pass the thorn-hedge, ",81,,
mais ils y étaient restés accrochés ,MAIS EUX RESTER ACCROCHER,RESTES ACCROCHES ,['Imp']['Past']['Past'],,"but had been caught and pierced by the thorns, ",82,,
et y étaient morts d'une triste mort. ,MOURIR TRISTE MORT,TRISTE MORT MORTS ,['Imp']['Past'],,and had died a miserable death. ,83,,
"Le jeune homme dit alors: Je n'ai peur de rien, je vais y aller. ",JEUNE HOME DIRE MOI PEUR RIEN MOI ALLER,JEUNE HOMME ALORS DIRE PEUR AVOIR ALLER ALLER ,['Pres']['Pres']['Pres'],,"Then said the young man: Nevertheless, I do not fear to try; ",84,,
Je veux voir la Belle au Bois Dormant. ,MOI VOULOIR VOIR BELLE BOIS DORMANT,BELLE BOIS DORMANT VOULOIR VOIR ,['Pres'],,I shall win through and see the lovely Rosamond. ,85,,
"Le bon vieillard voulut l'en empêcher, mais il eut beau faire, le prince ne l'écouta pas. ",GENTIL VEILLARD VOULOIR L'EMPECHER MAIS ESSAYER ESSAYER PRINCE PAS L'ECOUTER,BON VIEILLARD VOULOIR EMPECHER BEAU AVOIR FAIRE PRINCE NE ECOUTA PAS ,['Imp']['Past'],,"The good old man tried to dissuade him, but he would not listen to his words. ",86,,
"Or, les cent années étaient justement écoulées ",MAIS CENT ANS JUSTEMENT PASSER,CENT ANNEES JUSTEMENT ECOULEES ,['Imp']['Past'],,"For now the hundred years were at an end, ",87,,
et le jour était venu où la Belle au Bois Dormant devait se réveiller. ,JOUR ARRIVER BELLE BOIS DORMANT SE REVEILLER,JOUR OU BELLE BOIS DORMANT VENU DEVOIR REVEILLER ,['Imp']['Past']['Imp'],,and the day had come when Rosamond should be awakened. ,88,,
"Lorsque le fils du roi s'approcha de la haie d'épines, ",QUAND FILS ROI APPROCCHER HAIE EPINE,FILS ROI APPROCHA HAIE EPINES ,<unk>,,"When the prince drew near the hedge of thorns, ",89,,
il vit de magnifiques fleurs qui s'écartaient d'elles-mêmes sur son passage et lui laissaient le chemin. ,VOIR MAGNIFIQUE FLEUR ELLE-MEME S'ECARTER QUAND LUI AVANCER LAISSER CHEMIN POUR LUI,MAGNIFIQUES FLEURS MEMES PASSAGE CHEMIN VOIR ECARTER LAISSER ,['Pres']['Pres']['Pres'],,"it was changed into a hedge of beautiful large flowers, which parted and bent aside to let him pass, ",90,,
"Derrière lui, elles reformaient une haie. ",DERRIERE LUI REFERMER REFAIRE HAIE,HAIE REFORMER ,['Pres'],,and then closed behind him in a thick hedge. ,91,,
"Dans le château, il vit les chevaux et les chiens de chasse tachetés qui dormaient. ",DANS CHATEAU LUI VOIR CHEVEAUX CHIEN CHASSE TACHETE DORMIR,CHATEAU CHEVAUX CHIENS CHASSE DORMAIENT VOIR TACHETES ,['Pres']['Past'],,"When he reached the castle-yard, he saw the horses and brindled hunting-dogs lying asleep, ",92,,
"Sur le toit, les pigeons se tenaient la tête sous l'aile. ",SUR TOIT PIGEON TETE SOUS AILE,TOIT PIGEONS TETE AILE TENIR ,['Pres'],,and on the roof the pigeons were sitting with their heads under their wings. ,93,,
"Et lorsqu'il pénétra dans le palais, ",QUAND LUI ENTRER DANS PALAIS,PALAIS PENETRER ,['Fut'],,"And when he came indoors, ",94,,
il vit les mouches qui dormaient contre les murs. ,VOIR MOUCHE DORMIR CONTRE MUR,MOUCHES MURS VOIR DORMIR ,['Pres']['Pres'],,"the flies on the wall were asleep, ",95,,
"Le cuisinier, dans la cuisine, avait encore la main levée comme s'il voulait attraper le marmiton ",CHEF CUISINIER DANS CUISINE ENCORE MAIN LEVER COMME SI VOULOIR ATTRAPER MARMITE,CUISINIER CUISINE ENCORE MAIN MARMITON AVOIR LEVEE VOULOIR ATTRAPER ,['Imp']['Past']['Imp'],,"the cook in the kitchen had his hand uplifted to strike the scullion, ",96,,
et la bonne était assise devant une poule noire qu'elle allait plumer.,BONNE ASSOIR DEVANT POULE NOIR ELLE JUSTE PLUMER,BONNE POULE NOIRE ASSISE ALLER PLUMER ,['Imp']['Past']['Imp'],,and the kitchen-maid had the black fowl on her lap ready to pluck.,97,,
"Puis il monta plus haut, ",PRINCE MONTER,PLUS HAUT MONTER ,['Past'],,"Then he mounted higher, ",98,,
"et vit dans la salle toute la cour endormie,",VOIR DANS SALLE TOUTE PERSONNE DORMIR,SALLE TOUTE COUR ENDORMIE VOIR ,['Pres'],,"and saw in the hall the whole court lying asleep, ",99,,
"Et au dessus d’eux, sur les marches du trône, ",DESSUS MARCHE TRONE,DESSUS D’EUX MARCHES TRONE ,<unk>,,"and above them, on their thrones, ",100,,
le roi et la reine étaient endormis.,ROI REINE ENDORMIR,ROI REINE ENDORMIS ,['Imp']['Past'],,slept the king and the queen. ,101,,
Le prince poursuivit son chemin et le silence était si profond qu'il entendait son propre souffle.,PRINCE CONTINUER SON CHEMIN SILENCE PROFOND LUI ENTENDRE SON SOUFFLE,PRINCE CHEMIN SILENCE SI PROFOND PROPRE POURSUIVRE ENTENDRE ,['Pres']['Imp']['Imp'],,"And still he went farther, and all was so quiet that he could hear his own breathing; ",102,,
"Enfin, il arriva à la tour ",ENFIN ARRIVER TOUR,ENFIN TOUR ARRIVER ,['Pres'],,"and at last he came to the tower, ",103,,
"et monta l'escalier en colimaçon, ",ESCALIER COLIMACON MONTER,ESCALIER COLIMACON MONTA ,['Past'],,"and went up the winding stair, ",104,,
et poussa la porte de la petite chambre où dormait la Belle. ,PORTE PETITE CHAMBRE POUSSER LA DORMIR BELLE,PORTE PETITE CHAMBRE BELLE POUSSER DORMIR ,['Pres']['Imp'],,and opened the door of the little room where Rosamond lay. ,105,,
"Elle était là, si jolie qu'il ne put en détourner le regard. ",ELLE LA TELLEMENT JOLIE PRINCE PAS DETOURNER REGARD,LA JOLIE NE PUT REGARD DETOURNER ,['Imp'],,"And when he saw her looking so lovely in her sleep, he could not turn away his eyes; ",106,,
Il se pencha sur elle et lui donna un baiser.,PENCHER SUR ELLE L'EMBRASSER,BAISER PENCHER DONNER ,['Past'],,and presently he stooped and kissed her.,107,,
"Alors, la Belle au Bois Dormant s'éveilla, ",ALORS BELLE BOIS DORMANT SE REVEILLER,ALORS BELLE BOIS DORMANT EVEILLER ,['Past'],,"And she awaked, ",108,,
ouvrit les yeux ,OUVRIR YEUX,YEUX OUVRIR ,,,"and opened her eyes, ",109,,
et le regarda en souriant. ,REGARDER PRINCE SOURIANT,REGARDA SOURIANT ,['Pres'],,and looked very kindly on him. ,110,,
Ils sortirent tous deux ,TOUS DEUX SORTIR,SORTIRENT TOUS DEUX ,<unk>,,"And she rose, and they went forth together, ",111,,
"et le roi s'éveilla à son tour, et la reine, et toute la Cour. ",ROI SON TOUR REVEILLER REINE ENSUITE PUIS TOUTE COUR,ROI TOUR EVEILLER REINE TOUTE COUR ,['Past'],,"and the king and the queen and whole court waked up, ",112,,
Et tout le monde se regardait avec de grand yeux. ,TOUT MONDE SE REGARDER YEUX GRAND,TOUT MONDE GRAND YEUX REGARDER ,['Imp'],,and gazed on each other with great eyes of wonderment. ,113,,
"Dans les écuries, les chevaux se dressaient sur leurs pattes et s'ébrouaient ",DANS ECURIE CHEVEAUX DRESSER SUR PATTE SE SECOUER,ECURIES CHEVAUX PATTES DRESSER EBROUER ,['Pres']['Imp'],,"And the horses in the yard got up and shook themselves, ",114,,
les chiens de chasse bondirent en remuant la queue. ,CHIEN CHASSE BONDIR REMUER QUEUE,CHIENS CHASSE QUEUE BONDIR REMUANT ,['Pres']['Pres'],,"the hounds sprang up and wagged their tails, ",115,,
"Sur le toit, les pigeons sortirent la tête de sous leurs ailes, ",SUR TOIT PIGEON AILE SORTIR TETE,TOIT PIGEONS SORTIRENT TETE AILES ,<unk>,,"the pigeons on the roof drew their heads from under their wings, ",116,,
regardèrent autour d'eux ,REGARDER AUTOUR EUX,REGARDERENT AUTOUR ,<unk>,,"looked round, ",117,,
et s'envolèrent vers la campagne. ,ENVOLER VERS CAMPAGNE,CAMPAGNE ENVOLER ,['Pres'],,"and flew into the field, ",118,,
"Les mouches, sur les murs, reprirent leur mouvement; ",MOUCHE SUR MUR REPRENDRE MOUVEMENT,MOUCHES MURS MOUVEMENT REPRENDRE ,['Pres'],,"the flies on the wall crept on a little farther, ",119,,
"dans la cuisine, le feu s'alluma, flamba et cuisit le repas. ",DANS CUISINE FEU S'ALLUMER FLAMBER CUIRE REPAS,CUISINE FEU ALLUMER FLAMBA REPAS CUIRE ,['Pres'],,"the kitchen fire leapt up and blazed, and cooked the meat, ",120,,
